#HIP,PMRA,PMDE
4594,-30.47,-24.44
4595,-23.89,-13.22
4596,40.92,-5.54
4597,-15.39,2.12
4598,127.57,-115.15
4599,165.49,-45.92
4600,-15.61,-4.94
4601,-13.44,-4.05
4602,183.14,-12.71
4603,17.59,4.15
4604,-5.38,-7.82
4605,-22.33,-11.31
4606,42.39,-0.24
4607,96.0,-47.22
4608,24.6,8.53
4609,11.53,-7.91
4610,72.14,-56.87
4611,-1.0,-23.53
4612,-5.61,-8.66
4613,131.14,18.47
4614,2.84,-13.19
4615,10.97,-1.35
4616,-9.69,-1.45
4617,82.03,-96.02
4618,125.93,-41.34
4619,27.38,-34.58
4620,5.45,-6.71
4621,-8.56,-15.66
4622,-25.67,-12.08
4623,1.97,-9.97
4624,-24.94,-109.78
4625,10.79,-11.29
4626,-4.67,-1.55
4627,-0.35,-5.9
4628,10.54,22.01
4629,16.43,6.63
4630,30.72,-21.45
4631,-9.14,4.83
4632,-36.03,-30.92
4633,3.58,-3.62
4634,67.26,-33.05
4635,-3.68,18.58
4636,-23.02,-3.62
4637,20.2,-31.74
4638,-15.87,-18.24
4639,4.52,-0.78
4640,-6.62,-21.76
4641,79.79,79.84
4642,-1.86,-25.82
4643,210.21,22.59
4644,3.88,1.76
4645,136.7,11.52
4647,7.67,-130.96
4646,-14.18,-17.06
4648,-6.16,-9.09
4649,23.75,-1.52
4650,-17.71,-19.4
4651,45.63,-6.16
4652,-12.39,-6.33
4653,23.18,4.65
4654,-24.99,-38.31
4655,20.08,-5.29
4656,-2.83,-4.32
4657,76.73,31.27
4658,2.17,5.22
4659,-34.78,-50.78
4660,-20.64,-13.05
4661,-3.54,-20.08
4662,53.53,3.15
4663,76.52,7.01
4664,-13.31,-1.9
4665,13.09,-13.4
4666,36.13,7.09
4667,-31.97,17.91
4668,68.53,-15.96
4669,17.47,11.72
4670,-19.08,-28.39
4671,117.16,22.48
4672,0.92,-7.38
4673,-58.8,-23.04
4674,19.31,-16.87
4675,14.72,-25.24
4676,68.83,-45.82
4677,-19.7,-7.21
4678,0.31,-31.44
4679,4.54,-6.32
4680,2.69,0.58
4681,-0.27,-4.72
4683,0.65,-1.82
4684,-9.47,11.82
4682,3.37,-35.16
4685,66.71,31.84
4686,-2.66,-19.34
4687,27.87,11.31
4688,28.32,-17.62
4689,16.09,-73.88
4690,-13.23,-10.84
4691,422.94,-17.1
4692,78.28,-87.96
4693,36.36,1.66
4694,13.35,-3.73
4695,23.3,-9.54
4696,31.48,-39.87
4697,41.7,-17.1
4698,1.28,-2.49
4699,-103.65,-92.29
4700,-15.53,-31.76
4701,-3.64,7.32
4702,127.66,-54.14
4703,1.54,-6.7
4704,85.98,12.33
4705,75.13,0.98
4706,-15.15,-8.34
4707,11.57,-37.11
4708,-5.74,21.5
4709,76.68,-6.5
4710,15.23,0.54
4711,-4.48,-7.24
4712,10.26,-3.55
4713,1.93,-4.79
4714,-0.22,-2.13
4715,2.21,-41.18
4716,54.42,-50.81
4717,-6.98,-3.18
4718,26.67,4.5
4719,36.75,-3.99
4720,8.15,-121.99
4721,35.14,-8.5
4722,49.42,39.91
4724,11.82,7.63
4723,24.97,6.77
4725,20.36,-27.45
4726,6.27,-19.82
4727,224.1,-30.9
4728,7.17,-1.63
4729,18.2,28.84
4730,-18.34,5.85
4731,1.94,-5.49
4732,66.95,50.38
4733,-1.66,1.47
4734,1.8,-6.1
4735,13.07,-11.81
4736,-5.98,13.02
4737,35.18,-7.4
4738,-7.31,-4.73
4739,107.0,-11.35
4741,-2.77,-8.03
4742,-40.31,-115.61
4743,54.85,11.03
4744,10.13,-7.0
4745,-20.6,-13.72
4746,26.63,5.99
4747,0.13,-56.2
4748,-8.91,-4.97
4749,220.41,-88.21
4750,234.42,-161.51
4751,91.27,-37.63
4752,111.25,-87.04
4753,-18.19,-17.03
4754,340.24,-150.04
4755,23.41,-21.54
4756,-7.24,-23.12
4757,33.87,-6.95
4758,-1.71,-2.61
4759,-9.98,-14.68
4760,4.58,-2.67
4761,-2.56,-1.89
4762,10.25,-3.72
4763,-33.91,-29.67
4764,129.31,25.2
4765,1.32,-27.34
4766,15.47,-9.89
4767,30.37,-47.06
4768,3.57,-1.18
4769,-11.01,-12.91
4770,66.98,49.92
4771,98.86,-26.64
4772,73.14,98.11
4774,-33.23,-32.92
4773,3.57,-1.18
4775,9.5,9.08
4776,8.89,12.43
4777,14.52,-9.56
4778,-14.3,-16.0
4779,-9.07,-9.3
4780,6.01,8.22
4781,55.05,-12.38
4782,-8.06,-4.26
4783,21.99,-26.89
4784,-0.69,-6.59
4785,6.05,-4.26
4786,4.33,-2.68
4787,28.23,-4.98
4788,-29.58,-33.84
4789,-7.42,-2.71
4790,-3.07,-26.12
4792,27.36,1.82
4791,-2.03,-1.69
4793,11.43,-40.22
4794,-50.83,-87.72
4795,89.76,-20.53
4796,23.49,-3.51
4797,28.0,4.51
4798,-7.66,-3.08
4799,34.42,-7.55
4800,18.62,-9.77
4801,72.02,-91.55
4802,27.18,-1.46
4803,-10.04,-9.9
4804,-19.86,-2.05
4805,-22.37,-31.79
4806,14.63,36.9
4807,20.67,6.66
4808,-5.92,-4.61
4809,135.88,-12.68
4810,-10.76,-28.2
4811,1.08,-2.59
4812,145.64,-57.58
4813,1.39,-4.62
4814,-12.03,-38.47
4815,108.19,-164.21
4816,-1.02,-9.63
4817,-40.67,-71.66
4818,45.47,-18.01
4819,24.19,3.28
4820,114.25,-28.88
4822,-29.42,-26.59
4821,64.92,13.86
4823,-17.68,-3.05
4824,-194.22,-487.58
4825,105.84,23.65
4826,126.0,-27.92
4827,-5.68,6.91
4828,12.46,1.81
4829,6.46,16.53
4830,-97.36,-83.13
4831,27.4,-14.08
4833,129.62,-54.0
4832,12.76,34.78
4834,44.61,-11.72
4836,61.22,23.05
4835,12.0,2.81
4837,70.87,-18.84
4838,-10.52,-6.78
