#time X Y Z
2159-12-31_11:30:12 6.555285627999444E9 1.8941521532361465E9 2.481826637156471E8
2163-02-05_11:30:12 6.453194622995646E9 1.9731697225452688E9 -1.341856509809236E8
2166-03-13_11:30:12 6.324066027211945E9 2.044041335736033E9 -5.145640887327241E8
2169-04-18_12:30:12 6.1673377646872E9 2.1065670498974993E9 -8.915157510566728E8
2172-05-24_12:30:12 5.982417675722957E9 2.1602927804304714E9 -1.2638414022023299E9
2175-06-30_12:30:12 5.768720975842879E9 2.2044249787493644E9 -1.630290176663329E9
2178-08-05_12:30:12 5.525697954639147E9 2.237875580220713E9 -1.989360000067436E9
2181-09-10_12:30:12 5.25297743373399E9 2.259389151724585E9 -2.3390093090608587E9
2184-10-16_12:30:12 4.950492819887604E9 2.267738874577123E9 -2.6765664861508317E9
2187-11-22_11:30:12 4.618584656069571E9 2.2619140271261783E9 -2.998789462490078E9
2190-12-28_11:30:12 4.2580495880991178E9 2.241239083719441E9 -3.3020546369604344E9
2194-02-02_11:30:12 3.870041486652079E9 2.205380222131902E9 -3.582666097688079E9
2197-03-10_11:30:12 3.4560484638282194E9 2.1542526515885835E9 -3.837022480264478E9
2200-04-16_12:30:12 3.0177319586796007E9 2.087853906624506E9 -4.061784214620126E9
2203-05-23_12:30:12 2.5568699900640206E9 2.0060955603345575E9 -4.2538444427487116E9
2206-06-28_12:30:12 2.0754783280381877E9 1.9087164946435697E9 -4.410159743503374E9
2209-08-03_12:30:12 1.5758763553353145E9 1.795276327267295E9 -4.527610030137148E9
2212-09-08_12:30:12 1.0610018453207575E9 1.6652951113840296E9 -4.602843615808765E9
2215-10-15_12:30:12 5.3464986627708656E8 1.51846118768616E9 -4.632297224739103E9
2218-11-20_11:30:12 1651364.2309280382 1.3548621816090126E9 -4.612377687534431E9
2221-12-26_11:30:12 -5.3207220292688006E8 1.175176509964555E9 -4.539787827676617E9
2225-01-31_11:30:12 -1.0597198839772822E9 9.80736452794214E8 -4.411899686630327E9
2228-03-08_11:30:12 -1.5737659418818488E9 7.735493501136894E8 -4.227127554464083E9
2231-04-14_12:30:12 -2.066388575444206E9 5.561645186037412E8 -3.9851774966195025E9
2234-05-20_12:30:12 -2.529822584219579E9 3.3151641079652E8 -3.687171684672621E9
2237-06-25_12:30:12 -2.956606844543085E9 1.0279752413678032E8 -3.3357247276523566E9
2240-07-31_12:30:12 -3.3399523629489675E9 -1.2673078058143322E8 -2.934841771015815E9
2243-09-06_12:30:12 -3.673911468897271E9 -3.538176019363068E8 -2.4898831873052883E9
2246-10-12_12:30:12 -3.953635360290034E9 -5.753244749830494E8 -2.007429520864007E9
2249-11-17_11:30:12 -4.1756182869164634E9 -7.8831246743078E8 -1.495075413923371E9
2252-12-23_11:30:12 -4.337905591726693E9 -9.901199698855662E8 -9.611290368360926E8
2256-01-29_11:30:12 -4.440231987315E9 -1.1784690728528092E9 -4.140952445222153E8
2259-03-06_11:30:12 -4.483941085063143E9 -1.3514779272825413E9 1.3771307915959632E8
2262-04-11_12:30:12 -4.471776055309874E9 -1.5077176288527515E9 6.867394116591039E8
2265-05-17_12:30:12 -4.371930086947506E9 -1.8196929767453496E9 1.533211908103342E9
