hip,ra,dec,plx,e_plx,pmra,pmdec,b_v,vmag,btmag,vtmag
1300,4.08628939,71.93096665,7.65,0.94,15.94,9.15,0.446,9.74,10.276,9.802
1302,4.08958566,43.59510616,10.75,0.98,35.61,-23.43,0.068,6.12,6.192,6.113
1303,4.09065413,-7.03004676,5.09,1.37,12.82,-26.88,0.423,8.69,9.207,8.759
1304,4.0927314,-19.39924084,12.54,1.22,-18.38,-151.66,0.623,8.78,9.566,8.879
1306,4.09768809,-22.58791845,13.71,1.21,18.94,-39.74,0.673,7.9,8.736,7.983
1305,4.09772322,-34.8293041,9.45,1.22,-42.57,-5.38,0.586,9.07,9.772,9.135
1307,4.10007019,-43.78013951,2.94,0.85,12.12,1.34,1.287,7.88,9.547,8.015
1308,4.10122696,-46.71986215,21.82,2.32,201.19,10.94,1.258,11.06,,
1309,4.10158735,-70.39239137,5.08,0.61,2.32,9.17,0.251,7.18,7.48,7.213
1310,4.10711665,53.94564794,1.87,0.82,1.49,-2.89,1.025,7.22,8.533,7.336
1311,4.11529698,-36.7962474,5.56,1.31,-14.75,-17.22,0.466,9.2,9.711,9.233
1313,4.13059775,-56.22459111,5.71,1.22,-31.23,-40.43,0.588,9.18,9.882,9.242
1312,4.13084535,-66.69013392,5.56,0.73,57.54,24.45,1.167,7.74,9.241,7.862
1314,4.13473932,-55.46952747,4.61,0.9,17.88,-14.81,0.933,7.81,8.998,7.92
1315,4.13517115,-32.76040365,1.69,0.93,33.35,-10.17,1.201,7.34,8.897,7.475
1316,4.1397352,-38.83074716,4.55,1.49,-3.92,32.93,0.45,9.75,10.286,9.76
