#hip,pmra,pmdec
118292,25.05,37.88
24280,-2.07,-3.39
24294,21.43,-30.52
24330,0.65,-13.24
24345,-8.12,-17.48
24353,0.07,-12.6
24367,0.28,-1.7
24378,-1.32,-3.38
24408,-10.54,22.1
24428,-1.34,-0.71
24436,1.31,0.5
24449,-8.96,-9.25
24458,-1.56,5.14
24462,-0.04,-3.58
24466,0.24,-1.7
24472,260.37,-432.15
24556,1.03,-0.55
24596,-0.51,0.36
24599,29.86,19.42
24600,-0.37,-1.01
24616,-13.98,-1.55
24627,1.44,-0.17
24674,-17.61,-9.24
24690,21.11,22.05
24692,11.6,-73.14
24701,0.86,-1.02
24708,3.89,2.8
24749,-6.7,-89.09
24752,-0.17,-1.4
24768,16.72,-16.51
24804,-41.72,-16.4
24809,1.17,-0.45
24828,-3.0,-1.35
24838,-7.53,-16.53
24854,-0.98,-4.02
24857,-13.71,-4.58
24867,-8.26,-4.92
24868,2.33,-2.99
24882,-6.76,-8.86
24891,-0.54,-1.38
24899,0.7,0.33
24900,-2.23,-0.84
24916,5.33,-1.44
24919,1.87,-66.51
24920,-4.59,-61.11
24925,-2.56,-4.81
24930,3.08,-1.56
24936,1.58,-3.05
24944,-7.78,-29.24
24995,1.57,-2.74
25006,9.11,-12.7
25032,0.89,15.11
25088,0.82,4.16
25092,47.31,-5.1
25116,-5.09,-5.9
25147,-4.65,-7.15
25153,-2.13,-8.41
25167,1.94,3.73
25170,1.02,4.55
25171,-3.52,5.54
25187,-2.53,-3.52
25214,9.03,6.1
25227,-2.15,-1.92
25232,3.28,1.89
25236,5.39,-2.88
25247,-14.82,-45.02
25271,-2.98,-72.4
25310,0.36,-1.0
25314,6.57,-18.13
25352,-16.49,12.06
25360,3.79,-11.06
25366,5.56,-27.74
25367,3.92,-4.49
25388,-133.62,-22.64
25398,12.23,-12.53
25401,5.14,0.28
25405,94.02,77.56
25442,9.12,-1.73
25457,5.4,-2.41
25460,4.13,-2.94
25479,6.2,0.49
25509,0.61,-14.83
25519,6.41,-11.59
25522,2.55,-0.71
25536,-0.32,-2.25
25546,0.09,-5.15
20716,13.35,38.16
20736,-9.95,32.54
20765,-5.8,-13.32
20783,38.2,5.03
20807,-36.62,-56.19
20846,5.76,21.06
20858,3.47,-16.81
20909,15.93,-2.39
20953,32.39,28.75
21071,4.99,-4.61
21133,2.77,-2.56
21193,5.19,18.0
21215,9.01,5.12
21225,-12.8,-6.59
21241,13.26,-19.45
21324,15.16,17.09
21354,2.76,-39.23
21364,6.11,-5.3
21381,88.85,0.07
21466,12.88,-18.95
21471,9.03,38.31
21498,34.68,31.85
21511,4.81,4.45
21560,59.02,-5.63
21579,69.25,-11.89
21605,2.17,4.25
21632,56.03,-11.08
21649,11.82,-28.61
21743,-69.63,17.3
21773,-0.07,-7.7
21775,35.12,54.53
21825,2.03,6.81
21940,39.06,46.61
22007,0.22,8.92
22016,16.04,-31.41
22045,0.98,22.34
22057,-12.57,4.68
22065,-8.42,5.14
22097,6.22,3.43
22159,71.19,53.17
22226,34.52,-4.13
22308,54.16,-4.77
22342,4.46,-1.33
22481,-28.95,-0.33
22482,189.57,115.36
22491,18.91,-18.93
22502,40.66,0.82
22503,15.6,11.45
22530,15.65,-56.43
22543,9.04,9.51
22594,19.15,15.71
22632,165.55,-27.75
22668,4.22,-68.86
22683,8.07,-69.15
22700,16.95,5.25
22749,-3.68,29.92
22761,-3.19,-16.05
22766,-9.62,1.01
22815,9.83,29.15
22836,-26.96,3.36
22897,15.12,22.24
22993,4.17,5.13
23019,182.58,-55.08
23070,2.56,4.24
23096,-7.96,-5.87
23112,4.78,10.49
23127,-24.83,10.38
23202,3.86,-6.91
23233,3.75,29.51
23236,22.58,39.53
23430,86.16,-75.99
23468,59.12,-61.19
23519,153.03,-52.78
23554,26.3,-38.52
23558,3.47,8.13
23668,10.22,-62.43
23670,48.46,-1.98
23738,-7.64,10.55
23842,1.2,-2.7
23859,-2.83,-7.14
23889,55.93,-46.71
23950,6.94,12.69
24114,-1.9,26.44
24138,0.13,11.66
24148,-6.75,4.26
24149,-13.9,-62.8
24250,10.41,-98.13
24257,14.52,-32.15
24265,-0.56,3.03
24299,0.57,0.95
24306,-6.65,0.88
24318,8.56,-2.07
24400,-9.08,-37.06
24420,5.38,23.87
24421,44.84,-36.13
24430,55.15,-61.72
24505,10.08,-29.59
24521,-3.85,-7.62
24530,-2.79,9.27
24598,6.6,14.82
24621,4.42,-1.11
24644,-2.15,-6.23
24677,5.38,-22.22
24736,-35.04,-37.17
24810,39.74,-8.93
24840,-7.5,-28.5
24860,38.25,72.38
24915,5.05,1.64
24966,6.94,9.75
25045,-20.42,-13.99
25108,7.93,-7.81
25180,21.65,24.02
25234,0.62,4.38
25273,-8.71,5.26
22209,7.73,-22.68
22228,2.89,-7.05
22231,16.08,17.88
22252,51.24,-82.38
22269,11.2,-14.9
22277,-5.24,4.53
22310,5.93,-4.8
22315,16.39,-2.43
22333,-3.04,-64.18
22360,51.33,-168.77
22388,-6.37,-1.58
22390,0.13,2.66
22399,21.68,-234.04
22436,-8.72,2.97
22519,24.27,-35.68
22581,-15.61,-7.28
22608,83.33,-93.62
22631,-9.1,31.62
22671,-2.94,-9.25
22710,21.79,-14.3
22721,-5.71,-6.15
22731,-1.39,-15.47
22750,32.91,0.03
22772,-31.91,238.9
22813,0.1,-3.96
22835,36.69,-6.6
22905,-66.21,130.25
22952,41.45,-59.59
22963,-1.3,48.08
23009,5.27,-3.7
23084,-11.39,1.16
23138,18.38,-39.27
23207,73.91,-66.02
23217,14.38,7.76
23258,60.07,-60.1
23322,208.1,-88.01
23347,25.79,60.76
23362,36.43,-16.46
23373,-6.61,111.96
23398,1.73,-7.53
23411,-17.92,-10.47
23449,3.5,-13.04
23452,-143.42,-221.81
23472,-6.62,-116.54
23474,63.43,14.15
23516,250.07,161.96
23517,-2.78,-4.16
23538,-1.99,-0.82
23620,9.68,-29.4
23631,40.84,78.32
23636,11.43,-33.34
23671,-4.91,-15.56
23685,21.13,-73.11
23687,-7.69,-8.75
23697,25.39,1.6
23698,6.25,5.02
23736,-11.27,8.76
23773,-15.93,0.7
23806,43.19,-20.77
23818,-34.06,272.09
23823,5.78,-19.98
23848,1.05,12.5
23888,26.26,-63.07
23902,-18.59,-79.98
23928,3.85,1.89
23952,7.01,7.1
23991,-3.8,-8.64
24015,-20.36,-5.69
24070,1.45,2.76
24086,5.07,6.49
24092,0.18,9.39
24112,-7.45,1.73
24123,-11.12,6.44
24268,-10.77,1.0
24271,-12.47,0.82
24278,-0.78,-3.1
24293,17.61,3.73
24321,-3.68,-7.92
24339,-6.01,-37.79
24343,4.2,18.33
24387,11.32,22.4
24392,65.81,61.41
24401,23.72,17.01
24427,-13.09,11.84
24434,1.12,-3.44
24506,17.37,-32.23
24519,-13.82,-14.8
24528,-13.14,4.74
24582,41.51,31.14
24592,-4.99,14.75
24643,6.74,4.48
24649,6.84,1.53
24675,2.77,-5.78
24683,3.61,-1.7
24686,7.86,10.48
24707,7.31,-13.33
24741,17.38,15.55
24750,7.28,0.13
24783,-138.56,-39.61
24786,386.13,61.03
24787,-5.32,-18.91
24800,16.24,-17.9
24825,1.9,9.27
24827,-1.13,10.25
24862,-44.84,-11.14
24927,11.39,-10.3
24932,99.6,86.45
24941,3.14,8.86
24974,-12.14,1.97
24975,0.77,33.29
25057,5.14,-37.78
25115,2.74,2.54
25117,3.41,5.39
25118,3.62,4.44
25125,23.81,2.24
25212,-4.62,-34.68
25218,-2.67,-32.46
25243,33.86,17.98
25272,3.23,5.72
25324,-5.77,-5.2
25333,34.72,-13.71
23740,-2.72,-14.59
23809,26.76,-41.72
23832,20.2,-5.06
23837,3.41,-0.23
23903,-7.38,1.52
23919,2.04,2.17
23929,-28.9,-11.53
23930,26.63,11.82
23935,-14.1,-25.16
23953,4.98,-6.04
23955,-8.65,-29.21
23990,2.42,-6.39
23995,9.16,9.93
24041,4.03,-50.59
24053,3.45,-1.11
24127,3.46,-5.07
24130,85.66,-151.09
24144,7.27,-2.77
24162,81.48,1.34
24183,-1.79,-5.97
24190,-85.68,19.82
24261,-0.66,-6.85
24266,-1.38,-5.99
24297,0.23,-1.25
24311,-1.49,-6.06
24341,14.67,-12.64
24342,-2.16,-0.3
24371,3.4,1.89
24382,3.97,-27.8
24441,17.47,-3.39
24493,-37.39,7.82
24498,-1.66,-1.9
24503,-46.26,4.89
24516,-10.71,2.83
24531,-1.8,-2.84
24567,-2.77,3.4
24580,2.88,4.23
24604,-5.73,3.65
24611,-4.11,-2.76
24635,-1.8,1.62
24636,12.11,0.26
24689,-5.86,-5.15
24709,1.91,-0.27
24747,1.51,2.66
24758,0.79,0.09
24811,0.69,-1.99
24819,700.32,135.59
24842,5.92,-2.94
24847,1.09,1.14
24849,3.26,-0.06
24851,1.69,-0.47
24922,1.27,-0.09
24997,-8.91,-2.35
25025,-1.67,-0.71
25028,0.76,0.75
25036,-3.26,9.47
25044,1.23,1.13
25066,-0.55,5.71
25121,-1.22,-4.83
25128,1.27,0.24
25135,15.83,-24.56
25152,2.29,-1.81
25173,-23.56,3.44
25191,34.44,-96.93
25193,3.54,-0.69
25199,2.37,-1.38
25223,2.08,-2.64
25240,-5.98,-1.08
25244,0.78,0.17
25281,-0.71,-3.46
25282,-4.23,140.26
25285,-1.71,-6.96
25293,-3.64,-1.92
25327,5.24,-0.53
25335,-3.82,-106.25
25365,-1.45,-3.67
25368,3.56,-0.68
25394,1.41,-2.51
25427,1.13,-0.47
25480,1.67,-1.97
25496,1.49,-3.04
25548,0.42,0.44
25552,2.04,-1.98
25557,2.91,-1.8
25574,-5.35,7.29
25594,0.52,-1.51
25600,1.09,-0.88
25603,6.56,3.56
25622,-3.55,-8.59
25623,-307.23,-797.21
25643,0.01,1.27
25664,4.2,0.29
25667,-3.35,-6.97
25675,-24.66,28.77
25708,-27.17,-9.2
25718,7.63,-16.02
25727,-5.01,-14.4
25732,48.77,-39.27
25737,1.16,-25.84
25762,1.55,-0.91
23200,34.6,-94.27
23222,5.41,-0.21
23245,-1.62,-14.85
23266,49.57,20.69
23279,-0.25,-7.98
23287,5.87,-29.46
23295,0.44,-4.58
23300,-4.24,-5.43
23310,86.27,-36.63
23312,73.42,10.69
23328,-2.02,-6.68
23344,155.01,-147.49
23385,-2.82,11.56
23408,5.18,-22.94
23414,116.32,49.71
23417,-6.4,-11.73
23419,-4.59,9.64
23421,-8.17,5.33
23448,-2.14,3.5
23473,2.49,-3.8
23508,0.52,3.77
23510,25.7,-13.08
23537,-2.34,3.02
23548,19.19,22.17
23571,-2.54,-3.61
23654,2.1,-2.44
23680,12.13,-4.42
23681,6.05,1.15
23700,4.75,-2.21
23714,1.01,-0.17
23728,14.01,-9.13
23752,-5.92,-17.66
23757,1.9,-5.59
23798,9.87,-8.26
23821,-52.08,16.44
23826,1.18,-7.21
23843,0.5,-7.78
23846,-0.87,-4.6
23867,5.77,-23.28
23892,12.18,-40.16
23899,-2.69,-1.92
23907,-2.43,0.37
23920,-19.89,18.17
23934,-3.74,-6.18
23948,4.05,7.05
23957,-7.63,-26.83
23989,-12.87,-12.89
23997,-16.43,1.24
24034,20.18,-10.35
24048,-2.8,-1.21
24088,-2.39,0.0
24166,-10.6,-31.86
24182,-1.08,-16.73
24196,6.25,0.83
24203,2.08,-10.74
24205,179.69,-138.4
24208,13.26,-9.02
24227,19.78,2.26
24236,0.51,11.13
24246,-30.45,-43.09
24248,-2.02,-2.8
24289,231.5,-78.9
24331,0.83,3.91
24336,-35.3,23.56
24349,3.33,-1.87
24363,0.46,-2.97
24368,-25.8,-11.51
24377,8.96,-16.9
24399,13.8,9.6
24442,-4.4,-4.73
24454,237.01,-444.86
24457,139.18,-201.02
24467,-2.72,0.35
24482,0.93,2.84
24483,0.44,16.65
24537,-8.53,-17.79
24547,-1.04,-4.84
24563,5.45,-4.29
24570,-12.61,-3.58
24588,-5.09,-7.95
24607,-11.64,-6.61
24625,0.51,-9.19
24676,18.96,-32.11
24699,11.49,-28.7
24714,-63.41,2.48
24729,-5.26,1.81
24746,14.08,14.65
24757,-1.6,1.67
24762,5.15,-11.62
24774,65.05,35.91
24803,-1.41,0.9
24817,-17.74,-53.15
24830,47.0,-9.98
24846,-3.66,-6.32
24848,-2.37,-1.4
24863,-10.65,-10.72
24864,30.9,-98.97
17640,47.21,48.84
17745,-18.77,4.59
17838,-37.94,-17.73
17850,-1.55,-18.64
17919,13.23,61.94
17945,24.29,-21.89
17956,80.94,-233.46
17958,3.27,-38.83
17979,29.51,45.71
18013,5.97,-2.96
18020,21.0,17.69
18086,0.36,14.45
18093,101.41,-27.64
18216,31.28,-7.49
18271,-45.36,-24.96
18302,71.17,-6.3
18331,23.3,97.46
18336,23.61,4.59
18348,13.96,-3.92
18363,33.81,44.24
18364,-31.27,-19.05
18432,107.24,-280.55
18479,2.73,-20.35
18492,-27.8,6.06
18553,7.61,-34.25
18575,9.92,3.68
18673,12.12,16.48
18753,13.37,2.09
18776,87.83,2.89
18931,10.72,-26.15
18934,-6.13,-24.68
18939,-17.42,-6.7
18951,16.86,0.3
19051,78.6,8.49
19113,28.54,8.93
19236,-12.08,9.55
19297,4.92,-9.91
19374,-0.84,-1.73
19418,14.03,11.3
19453,54.55,18.9
19490,19.03,4.0
19494,105.6,-24.52
19501,-59.07,-153.72
19507,-76.52,-57.21
19567,-6.66,-13.33
19568,85.82,-90.36
19666,-7.04,-2.69
19687,-11.85,95.62
19698,5.45,2.18
19723,8.32,5.52
19760,16.52,9.51
19807,24.74,-37.0
19887,59.41,66.31
19889,44.92,50.23
19950,-26.31,-116.18
20022,5.36,-12.24
20044,159.81,114.99
20060,62.45,89.68
20088,-20.08,15.93
20123,7.04,4.51
20124,27.07,-16.84
20126,15.8,-21.0
20148,21.66,61.94
20163,9.57,0.37
20185,63.9,48.38
20194,13.78,-0.31
20275,9.03,11.43
20293,25.27,68.95
20347,30.08,-48.82
20351,-21.06,62.5
20418,8.29,-18.08
20465,19.21,-15.11
20478,36.4,-269.27
21449,30.05,4.97
21486,-14.23,7.03
21502,-1.87,26.06
21550,14.59,-92.42
21563,-4.52,-21.14
21616,-0.38,-26.05
21653,13.92,1.34
21681,23.13,21.38
21688,14.3,7.48
21733,14.04,157.99
21755,-1.23,-28.29
21778,-16.25,-283.55
21798,43.3,3.3
21799,29.43,18.61
21839,186.26,15.65
21860,-22.79,53.07
21891,51.89,-192.5
21933,10.06,4.89
21958,-30.27,-66.65
21985,-22.78,1.32
21997,-3.02,-6.29
22023,13.5,-48.69
22031,102.9,2.51
22036,16.89,-24.5
22046,-2.73,3.78
22068,352.59,-190.73
22087,13.51,33.04
22089,4.79,14.84
22120,-1.4,6.31
22123,-10.43,-28.89
22162,133.46,49.48
22167,5.65,33.39
22192,-3.82,17.58
22233,-13.95,6.09
22254,79.28,-15.9
22280,28.93,92.67
22320,238.11,49.67
22373,-96.58,67.62
22395,110.71,-21.14
22457,-13.34,12.14
22472,23.75,2.32
22484,40.12,-16.49
22515,3.93,-93.38
22538,32.29,2.39
22589,96.58,-24.27
22619,9.69,17.7
22643,48.67,-5.37
22666,12.52,19.64
22680,-8.2,-13.01
22757,-12.24,0.62
22781,-4.06,-8.09
22821,-8.09,5.3
22822,19.81,47.14
22824,2.23,-270.91
22837,25.71,-29.27
22865,-0.63,10.55
22907,188.27,-227.97
22911,1.29,-10.1
22912,6.16,-14.5
22921,103.56,-209.63
22969,23.85,19.74
23000,10.95,-11.02
23036,-72.71,-33.3
23059,-9.87,-26.52
23125,0.1,-5.47
23126,29.0,-7.4
23133,-2.47,-5.35
23176,-3.65,38.8
23183,28.87,30.8
23218,-5.47,-23.1
23232,-1.61,9.2
23242,54.69,42.28
23243,-68.22,55.42
23248,-80.93,-175.51
23263,-1.24,3.41
23354,-2.84,15.35
23368,-1.68,-6.27
23429,13.26,-36.18
23439,-9.71,15.72
23446,-6.16,84.68
23476,3.55,-45.9
23534,-6.99,-42.25
23552,52.24,-29.79
23559,8.41,-8.93
23562,-0.94,-12.1
23623,-10.21,3.71
23628,-28.53,-76.98
23667,6.58,6.16
23705,-1.25,-0.36
23711,21.47,5.65
23720,-0.24,1.2
23722,15.45,25.05
23771,24.76,-13.74
23805,18.97,-17.51
23839,7.43,20.48
23855,1.98,-9.92
23979,10.07,-13.91
23999,-2.98,5.38
20944,11.15,-81.46
20969,-1.7,-1.64
20984,206.53,-134.83
21033,7.86,20.88
21045,3.72,-3.15
21049,-15.83,2.47
21130,14.85,-25.03
21139,-1.85,-8.19
21161,18.03,3.65
21192,17.78,-17.16
21202,9.42,5.12
21208,-16.1,-5.59
21259,20.81,23.7
21263,-6.06,-4.41
21316,6.68,-1.37
21326,6.06,-5.61
21344,6.54,-3.41
21349,12.09,-7.09
21429,-1.51,-5.67
21444,1.53,-5.01
21547,44.22,-64.39
21557,0.36,-24.62
21696,-5.21,-45.66
21714,-0.45,2.56
21718,22.68,-9.25
21747,30.05,-11.8
21777,-12.69,-23.71
21796,-4.65,-12.52
21829,91.25,75.49
21835,3.09,-13.11
21870,14.95,-14.63
21894,-18.73,-19.81
21935,94.53,-48.01
21964,3.01,7.39
21981,6.95,3.84
22025,12.53,-3.36
22058,-8.35,-3.25
22100,1.43,7.17
22109,15.94,-14.52
22137,22.14,5.07
22189,16.87,-54.08
22200,8.78,-19.38
22270,7.26,-28.07
22305,-4.78,-9.48
22307,3.68,-10.24
22316,-1.69,-7.19
22341,15.7,2.21
22408,43.29,-20.19
22454,1.25,-9.22
22526,15.97,-47.0
22574,22.96,-0.84
22575,3.43,-55.23
22585,2.28,-0.09
22591,7.26,2.5
22628,26.27,5.16
22652,-15.25,-14.03
22714,10.34,-15.76
22716,13.9,-13.64
22791,5.68,-10.18
22808,-2.62,-38.72
22812,26.77,-3.67
22856,0.0,1.14
22867,61.91,-27.93
22888,-4.33,-6.74
22908,26.55,14.61
22954,-5.94,-12.01
23041,-36.11,-27.45
23092,12.27,12.86
23101,-3.48,3.61
23102,-6.22,-5.17
23131,-5.77,-0.84
23173,-3.34,9.14
23194,2.18,1.85
23241,9.52,4.86
23255,21.35,-1.81
23289,3.8,3.29
23296,-12.32,-2.13
23313,3.36,0.09
23319,13.86,-25.01
23363,11.06,-24.35
23386,12.3,-15.13
23434,0.58,0.27
23441,-2.46,-1.4
23503,8.02,9.86
23514,1.14,-4.67
23515,4.09,-1.0
23533,6.27,-5.93
