name,raj2000,dej2000,dist,pmra,pmde,rv,rcluster,n_star
IC 166,28.095,61.865,4801.0,-1.25556E-6,-3.52778E-7,-36.7,0.245,22685
Stock 4,28.2825,57.01,900.0,2.58333E-7,1.36111E-7,,0.21,13664
ESO 245-09,28.4295,-45.92,1380.0,1.13889E-6,5.83333E-7,,0.37,1715
Berkeley 7,28.545,62.37,2600.0,-1.19444E-6,-5.41667E-7,,0.11,12803
Czernik 5,28.9275,61.354,2400.0,-8.69444E-7,-8.83333E-7,,0.09,11697
NGC 752,29.2725,37.79,450.0,2.32222E-6,-3.36111E-6,4.67,1.4,34507
IRAS 01546+6319,29.3325,63.49,2400.0,-8.80556E-7,-2.88889E-7,,0.39,36326
NGC 744,29.6445,55.478,1382.0,-8.33333E-8,-1.08889E-6,,0.345,19985
NGC 743,29.655,60.157,1100.0,-5.02778E-7,-7.69444E-7,-6.5,0.17,16226
ASCC 7,29.775,58.925,2000.0,5.38889E-7,-3.36111E-7,-49.0,0.18,15044
FSR 0558,30.1305,67.803,2501.0,-8.02778E-7,-4.08333E-7,,0.1,7591
Berkeley 8,30.3525,75.493,5001.0,4.80556E-7,-5.13889E-7,,0.24,6719
Czernik 6,30.48,62.85,1391.0,-1.06944E-6,1.38889E-8,,0.115,12614
FSR 0555,30.705,70.696,2200.0,6.30556E-7,-8.77778E-7,,0.085,5064
Czernik 7,30.7545,62.253,3001.0,-1.15556E-6,-5.30556E-7,,0.12,12510
Stock 5,31.1355,64.355,1100.0,3.11111E-7,-3.22222E-7,-19.3,0.24,19243
FSR 0532,31.2975,81.204,2589.0,-2.36111E-7,-4.77778E-7,,0.18,3382
SAI 16,31.413,62.265,4739.0,-8.61111E-8,-3.94444E-7,,0.09,10334
FSR 0561,31.4745,67.745,1466.0,-8.61111E-7,-2.88889E-7,,0.135,8722
Riddle 4,31.86,60.271,2200.0,2.80556E-7,-3.05556E-7,,0.083,9331
IRAS 02044+6031,32.0325,60.75,2735.0,2.63889E-7,-3.97222E-7,-57.99,0.27,20859
IRAS 02054+6011,32.175,60.437,2726.0,2.94444E-7,-7.55556E-7,,0.125,11419
FSR 0616,33.39,44.74,1530.0,6.94444E-7,-1.04722E-6,,0.115,3489
Stock 2,33.66,59.44,400.0,4.48056E-6,-4.02778E-6,1.81,1.7,252511
IRAS 02130+5509,34.14,55.397,2500.0,2.0E-7,-1.86111E-7,,0.05,6016
NGC 869,34.74,57.145,2300.0,-7.80556E-7,1.38889E-8,-41.77,0.535,42880
Basel 10,34.8735,58.304,2000.0,-2.08333E-7,4.5E-7,-32.08,0.075,8676
Berkeley 63,34.899,63.73,3991.0,-7.22222E-7,8.27778E-7,,0.11,11603
FSR 0578,35.016,61.102,2668.0,6.16667E-7,-5.86111E-7,,0.1,9687
SAI 17,35.2125,59.2,4000.0,8.33333E-9,-8.88889E-8,,0.08,9474
ASCC 8,35.19,59.69,1801.0,-2.27778E-7,5.27778E-8,-12.89,0.24,19915
Berkeley 64,35.415,65.89,4801.0,-6.08333E-7,6.61111E-7,,0.107,9270
NGC 884,35.5125,57.145,2345.0,-1.11111E-6,4.58333E-7,-43.55,0.44,34682
NGC 886,35.862,63.755,1000.0,-4.08333E-7,1.44444E-7,,0.17,14888
IRAS 02232+6138,36.642,61.988,1835.0,-2.36111E-7,3.61111E-7,-47.1,0.19,14731
