#time X Y Z
2018-04-14_06:03:29 -5.4964546687312834E7 -2.382962760332159E7 -1.3752712113981956E8
2018-04-14_23:34:41 -5.654793671168739E7 -2.4516059388906106E7 -1.3679649476822728E8
2018-04-15_17:05:53 -5.8122481509885415E7 -2.519866588532819E7 -1.360443548848943E8
2018-04-16_10:37:05 -5.968791954314978E7 -2.587733514210964E7 -1.3527083245306876E8
2018-04-17_04:08:17 -6.124399070591205E7 -2.655195555606741E7 -1.3447606562765327E8
2018-04-17_21:39:29 -6.279043718170232E7 -2.722241616509042E7 -1.3366019996549729E8
2018-04-18_15:10:41 -6.432700439556071E7 -2.7888606994772095E7 -1.3282338840372244E8
2018-04-19_08:41:53 -6.585344198214188E7 -2.855041943240676E7 -1.3196579096833812E8
2018-04-20_02:13:05 -6.736950468076998E7 -2.920774659676832E7 -1.3108757420838274E8
2018-04-20_19:44:17 -6.887495307328072E7 -2.9860483669938795E7 -1.3018891038768816E8
2018-04-21_13:15:29 -7.036955410199001E7 -3.050852816229717E7 -1.2926997649600717E8
2018-04-22_06:46:41 -7.185308133335638E7 -3.115178009038512E7 -1.2833095316047034E8
2018-04-23_00:17:53 -7.332531496499531E7 -3.179014205932801E7 -1.2737202354173116E8
2018-04-23_17:49:05 -7.478604160052192E7 -3.2423519253060438E7 -1.2639337228927895E8
2018-04-24_11:20:17 -7.623505383188078E7 -3.305181934359572E7 -1.2539518461298491E8
2018-04-25_04:51:29 -7.767214967609252E7 -3.367495233574414E7 -1.2437764550607543E8
2018-04-25_22:22:41 -7.909713191112053E7 -3.429283036441484E7 -1.2334093913616967E8
2018-04-26_15:53:53 -8.05098073472659E7 -3.490536745879327E7 -1.2228524841009994E8
2018-04-27_09:25:05 -8.190998606660914E7 -3.551247928570939E7 -1.2121075471070656E8
2018-04-28_02:56:17 -8.32974806585415E7 -3.611408288165968E7 -1.2011763780300812E8
2018-04-28_20:27:29 -8.467210548200041E7 -3.67100963832519E7 -1.1900607590423009E8
2018-04-29_13:58:41 -8.603367598175387E7 -3.7300438764417596E7 -1.1787624591245611E8
2018-04-30_07:29:53 -8.738200810471103E7 -3.788502959796755E7 -1.1672832376586628E8
2018-05-01_01:01:05 -8.871691782808848E7 -3.846378884642218E7 -1.1556248491817012E8
2018-05-01_18:32:17 -9.003822083163051E7 -3.903663669845553E7 -1.1437890488116962E8
2018-05-02_12:03:29 -9.134573231337944E7 -3.960349345529268E7 -1.1317775979396994E8
