#time X Y Z
2018-03-27_05:46:12 260813.80926342058 110605.57679590632 -236750.48801125216
2018-03-27_07:03:58 257678.0384353712 109853.55693838751 -240533.63439452954
2018-03-27_08:21:43 254575.50365700456 108899.32780458248 -244274.4983967309
2018-03-27_09:39:29 251391.00883817737 108012.72265768642 -247973.3584813555
2018-03-27_10:57:15 248137.39947746706 107164.84788403075 -251629.33839479103
2018-03-27_12:15:00 244866.41211454172 106237.45758772048 -255241.66706542886
2018-03-27_13:32:46 241581.51732559633 105224.51341447153 -258809.90113115712
2018-03-27_14:50:31 238216.98980160654 104278.8657008962 -262333.3298717149
2018-03-27_16:08:17 234846.03550368405 103233.78984417155 -265811.5907178072
2018-03-27_17:26:03 231381.0033717811 102291.7296058125 -269243.5624867685
2018-03-27_18:43:48 227934.9792418967 101195.5324584229 -272629.5472222739
2018-03-27_20:01:34 224419.28877025144 100149.49760998599 -275968.19641641673
2018-03-27_21:19:19 220820.1687464662 99186.0993519084 -279258.5145596825
2018-03-27_22:37:05 217256.4316748518 98036.95752809187 -282501.7861398013
2018-03-27_23:54:51 213589.77965782638 97017.7096146783 -285695.1335070652
2018-03-28_01:12:36 209955.98370158472 95822.42644064139 -288840.68385227484
2018-03-28_02:30:22 206224.83045558413 94747.37073271383 -291935.0781980312
2018-03-28_03:48:07 202498.64823449138 93563.05316965387 -294980.2170668778
2018-03-28_05:05:53 198715.81328365664 92410.22910767571 -297973.99680998933
2018-03-28_06:23:39 194881.5688916636 91278.63137832534 -300915.9129028325
2018-03-28_07:41:24 191019.983442342 90115.8563352058 -303806.1967368462
2018-03-28_08:59:10 187176.03883480927 88822.95475950665 -306646.16156289866
2018-03-28_10:16:55 183275.38090020826 87568.4780641421 -309432.6302418405
2018-03-28_11:34:41 179326.5161641856 86335.01473747242 -312165.3174477017
2018-03-28_12:52:27 175341.20834147488 85097.96552303979 -314844.1700243952
2018-03-28_14:10:12 171319.96296812448 83857.97730136265 -317468.70671919076
2018-03-28_15:27:58 167260.99916383234 82620.81051738179 -320038.33196126955
2018-03-28_16:45:43 163177.40861233827 81359.10009003185 -322553.26004990854
2018-03-28_18:03:29 159119.8486775165 79961.96210709066 -325016.0608815858
2018-03-28_19:21:15 155002.0265492618 78623.45255576355 -327421.4775250448
2018-03-28_20:39:00 150826.78732064535 77338.99537450995 -329769.00444419635
2018-03-28_21:56:46 146642.10611590912 76003.72688029025 -332061.1757484668
2018-03-28_23:14:31 142468.6890604715 74573.57603860593 -334299.18581065803
2018-03-29_00:32:17 138238.10179274168 73202.55033988488 -336477.98529121105
2018-03-29_01:50:03 133953.4830554505 71885.53444890246 -338597.1441441846
2018-03-29_03:07:48 129730.51793014504 70367.46726239138 -340665.1153958006
2018-03-29_04:25:34 125379.76267934236 69071.11434153517 -342666.85219827265
2018-03-29_05:43:19 121073.31695409305 67616.11767884255 -344615.5944461118
2018-03-29_07:01:05 116724.05083419445 66197.96935113566 -346503.96318517724
2018-03-29_08:18:51 112399.67258448599 64668.17597753843 -348337.5478779475
2018-03-29_09:36:36 108002.82235160185 63245.068128034814 -350107.34612702276
2018-03-29_10:54:22 103645.32252216278 61682.00286241528 -351823.3036384019
2018-03-29_12:12:07 99229.74500624406 60197.62010539353 -353476.0011394228
2018-03-29_13:29:53 94757.34236333484 58791.257065676844 -355064.9177768374
2018-03-29_14:47:39 90322.20473992225 57255.390323800944 -356599.25148127496
2018-03-29_16:05:24 85834.5008483175 55792.11901831384 -358069.5333349952
2018-03-29_17:23:10 81389.50683605438 54190.97619562967 -359485.69525580044
2018-03-29_18:40:55 76899.28248624547 52650.10917774507 -360838.00914643303
2018-03-29_19:58:41 72366.32687527768 51166.141610993815 -362126.251071925
2018-03-29_21:16:27 67830.15579732308 49652.82475148589 -363354.6174461187
2018-03-29_22:34:12 63362.71019920741 47950.855953811944 -364531.71461618127
2018-03-29_23:51:58 58759.55913404056 46520.456930978304 -365632.5618715298
2018-03-30_01:09:43 54268.18144802417 44808.51693901578 -366687.37139802676
2018-03-30_02:27:29 49642.732400385095 43369.28221623852 -367665.01238711993
2018-03-30_03:45:15 45139.56651937283 41628.16904943611 -368598.2731509817
2018-03-30_05:03:00 40495.52520100979 40179.97858810286 -369452.41475495935
2018-03-30_06:20:46 35975.13857921133 38430.021195179004 -370262.70574303245
2018-03-30_07:38:31 31360.156665446848 36873.23184287424 -370999.32468911423
2018-03-30_08:56:17 26739.108867642535 35311.80466670913 -371674.08834924403
2018-03-30_10:14:03 22151.769291242486 33657.39750802276 -372292.6683843815
2018-03-30_11:31:48 17585.9995447321 31939.21911104251 -372853.4087000626
2018-03-30_12:49:34 12932.323747155278 30408.81966602266 -373339.87034968036
2018-03-30_14:07:19 8320.609807576906 28772.432851036756 -373771.21196924744
2018-03-30_15:25:05 3755.9718592501295 27019.77556653597 -374148.46003247186
2018-03-30_16:42:51 -857.1911972372804 25371.73836405284 -374456.7415964739
2018-03-30_18:00:36 -5516.255116711501 23825.0476638622 -374696.04349328374
2018-03-30_19:18:22 -10125.902622363776 22162.583173142997 -374881.50740254653
2018-03-30_20:36:07 -14687.971095100476 20389.874389970046 -375013.1030533795
2018-03-30_21:53:53 -19346.72464282715 18842.611337365026 -375066.91198716627
2018-03-30_23:11:39 -23962.79614587679 17200.664082368505 -375065.8816215177
2018-03-31_00:29:24 -28561.321406288695 15523.959567119073 -375005.93159973295
2018-03-31_01:47:10 -33158.451676549965 13852.022829513759 -374884.3026591383
2018-03-31_03:04:55 -37749.06376441535 12174.954079623352 -374701.8632321956
2018-03-31_04:22:41 -42324.85540246893 10475.273341400956 -374460.0975578311
2018-03-31_05:40:27 -46856.87225547052 8686.677210136359 -374164.2720887933
2018-03-31_06:58:12 -51479.90948450123 7128.71131989318 -373790.04991395917
2018-03-31_08:15:58 -56028.50921373855 5413.60989312023 -373367.36372617865
2018-03-31_09:33:43 -60580.69716482638 3727.3339854988794 -372882.09473343135
2018-03-31_10:51:29 -65138.02089397416 2075.8398996444207 -372333.92428495444
2018-03-31_12:09:15 -69611.5934035435 249.16462667839974 -371739.6737036852
2018-03-31_13:27:00 -74160.17866639701 -1371.9582047115248 -371069.44001363625
2018-03-31_14:44:46 -78676.01544450222 -3042.576237143681 -370343.6147779567
2018-03-31_16:02:31 -83163.74448939372 -4749.966486421511 -369561.485387896
2018-03-31_17:20:17 -87642.62438364283 -6445.934382771803 -368719.442856986
2018-03-31_18:38:03 -92130.92010290401 -8084.118626065342 -367813.9686436447
2018-03-31_19:55:48 -96595.71034688971 -9742.088724587524 -366851.6033063832
2018-03-31_21:13:34 -101026.48448366922 -11443.729909204994 -365834.60829772946
2018-03-31_22:31:19 -105465.40745434006 -13084.304074225345 -364754.6997272259
2018-03-31_23:49:05 -109825.6270206332 -14874.57458812679 -363629.4878893778
2018-04-01_01:06:51 -114261.99676121109 -16432.595079497685 -362427.8655450619
2018-04-01_02:24:36 -118618.52787682913 -18139.724940833843 -361181.5411355787
2018-04-01_03:42:22 -122957.7222863016 -19840.548458147412 -359878.0383036979
2018-04-01_05:00:07 -127272.80475688378 -21549.97740874442 -358518.9187122051
2018-04-01_06:17:53 -131583.40227826367 -23217.255595162354 -357100.325773837
2018-04-01_07:35:39 -135903.5533837383 -24804.968180388245 -355619.505692016
2018-04-01_08:53:24 -140179.540580173 -26445.421385175167 -354087.7661001013
2018-04-01_10:11:10 -144392.29741051688 -28185.36629291077 -352509.3425688688
2018-04-01_11:28:55 -148640.03817627294 -29775.64543021764 -350863.99431358237
2018-04-01_12:46:41 -152831.41545885132 -31444.703756424646 -349170.9916630835
2018-04-01_14:04:27 -156992.8270943042 -33124.351029695375 -347425.07329934364
2018-04-01_15:22:12 -161145.16603083 -34759.584368123375 -345622.10998906003
2018-04-01_16:39:58 -165275.87104001627 -36380.39066755501 -343764.9822539485
2018-04-01_17:57:43 -169424.73911858496 -37882.60274812542 -341845.58181697456
2018-04-01_19:15:29 -173496.39728316694 -39509.27245012882 -339884.2388908418
2018-04-01_20:33:15 -177507.95938521644 -41215.63697553189 -337877.63491296215
