#time X Y Z
2019-09-11_12:29:24 -7.234082238922237E8 -3.08728219622736E8 -5.5235633424733944E7
2019-09-20_04:25:34 -7.234732440848007E8 -3.0899105340390337E8 -4.5583910706973284E7
2019-09-28_20:21:43 -7.234282264969879E8 -3.0920689180589026E8 -3.592534606978554E7
2019-10-07_12:17:53 -7.232729880483922E8 -3.0937562072157276E8 -2.6261408466958303E7
2019-10-16_04:14:03 -7.230073632113031E8 -3.094971333812717E8 -1.6593525015730731E7
2019-10-24_20:10:12 -7.226312003946204E8 -3.095713288026295E8 -6923113.958093524
2019-11-02_12:06:22 -7.221443623409094E8 -3.095981119721192E8 2748399.118238151
2019-11-11_04:02:31 -7.215467275475842E8 -3.095773944719821E8 1.2419604099764856E7
2019-11-19_19:58:41 -7.208381895839242E8 -3.0950909420528364E8 2.208908836011318E7
2019-11-28_11:54:51 -7.200186568073109E8 -3.093931353003509E8 3.1755396368538603E7
2019-12-07_03:51:00 -7.190880525293123E8 -3.0922944820619583E8 4.141703539483057E7
2019-12-15_19:47:10 -7.180463164750701E8 -3.090179703384556E8 5.107248080451397E7
2019-12-24_11:43:19 -7.168934097817539E8 -3.08758648251811E8 6.072015304474422E7
2020-01-02_03:39:29 -7.156293177843511E8 -3.084514388546167E8 7.035843755450553E7
2020-01-10_19:35:39 -7.142540466888772E8 -3.0809630797789824E8 7.998573284394684E7
2020-01-19_11:31:48 -7.127676214808345E8 -3.076932294768147E8 8.960044928516485E7
2020-01-28_03:27:58 -7.111700862760175E8 -3.072421853824037E8 9.920100281340097E7
2020-02-05_19:24:07 -7.094615004579296E8 -3.067431642230319E8 1.087858542609604E8
2020-02-14_11:20:17 -7.076419344630071E8 -3.061961591949463E8 1.1835352350270174E8
2020-02-23_03:16:27 -7.057114693062524E8 -3.0560116795424795E8 1.279025595005661E8
2020-03-02_19:12:36 -7.036701934148204E8 -3.0495819123748124E8 1.3743153519797835E8
2020-03-11_11:08:46 -7.015182007812161E8 -3.042672320494034E8 1.4693904444585702E8
2020-03-20_03:04:55 -6.992555999400495E8 -3.0352829954297674E8 1.564236547016547E8
2020-03-28_19:01:05 -6.968825224739776E8 -3.027414126992792E8 1.6588388195850626E8
2020-04-06_10:57:15 -6.943991212942597E8 -3.0190659957745963E8 1.7531821326018107E8
2020-04-15_02:53:24 -6.918055723819923E8 -3.0102389806503534E8 1.8472510042593595E8
2020-04-23_18:49:34 -6.891020825145682E8 -3.0009335922562337E8 1.9410293661207834E8
2020-05-02_10:45:43 -6.862888878625294E8 -2.991150466953805E8 2.034500843217696E8
2020-05-11_02:41:53 -6.833662481919264E8 -2.980890341797997E8 2.127649107689473E8
2020-05-19_18:38:03 -6.803344467525171E8 -2.970154054156112E8 2.2204578531889847E8
2020-05-28_10:34:12 -6.771937841499758E8 -2.958942515214162E8 2.3129109370905226E8
2020-06-06_02:30:22 -6.739445677628716E8 -2.9472566641776997E8 2.404992659409915E8
2020-06-14_18:26:31 -6.705871168572282E8 -2.9350974906137127E8 2.49668754804812E8
2020-06-23_10:22:41 -6.671217734630247E8 -2.922466081864703E8 2.5879800597605073E8
2020-07-02_02:18:51 -6.635488986192937E8 -2.9093636070074713E8 2.678854733126741E8
2020-07-10_18:15:00 -6.598688701073027E8 -2.8957913071756935E8 2.7692962027591664E8
2020-07-19_10:11:10 -6.560820934451892E8 -2.881750543376623E8 2.859288866518373E8
2020-07-28_02:07:19 -6.521890054667747E8 -2.867242812249181E8 2.9488168801104975E8
2020-08-05_18:03:29 -6.481900695314273E8 -2.852269725562624E8 3.0378643762331015E8
2020-08-14_09:59:39 -6.440857783771459E8 -2.836833022743075E8 3.126415403803625E8
2020-08-23_01:55:48 -6.398766495486091E8 -2.820934551052649E8 3.214454007179688E8
2020-08-31_17:51:58 -6.355632051115993E8 -2.8045761775694215E8 3.3019646499731416E8
2020-09-09_09:48:07 -6.311459645854512E8 -2.7877597585626036E8 3.3889323160977215E8
2020-09-18_01:44:17 -6.266254529818532E8 -2.7704871744893456E8 3.4753423135683656E8
2020-09-26_17:40:27 -6.220021952018529E8 -2.7527603057951427E8 3.561180376975717E8
2020-10-05_09:36:36 -6.172767081776247E8 -2.734580998734665E8 3.6464327395478594E8
2020-10-14_01:32:46 -6.124495145148467E8 -2.7159511243549734E8 3.731085763847795E8
2020-10-22_17:28:55 -6.075211578991399E8 -2.6968726452883667E8 3.815125648765763E8
2020-10-31_09:25:05 -6.024922096658374E8 -2.6773476443559614E8 3.898538375243802E8
2020-11-09_01:21:15 -5.973632863815397E8 -2.6573784008240128E8 3.981309438705845E8
2020-11-17_17:17:24 -5.92135064351632E8 -2.636967453141473E8 4.063423639030912E8
2020-11-26_09:13:34 -5.868082667665894E8 -2.6161175429668477E8 4.144865357069022E8
2020-12-05_01:09:43 -5.813836506446365E8 -2.5948315584828022E8 4.225618827133318E8
2020-12-13_17:05:53 -5.758620115508801E8 -2.5731125550814798E8 4.305668134064119E8
2020-12-22_09:02:03 -5.702441748921038E8 -2.5509637179216447E8 4.384997424203266E8
2020-12-31_00:58:12 -5.645309725714265E8 -2.5283882607903364E8 4.4635912605972534E8
2021-01-08_16:54:22 -5.587232369428464E8 -2.5053893998515743E8 4.54143464650035E8
2021-01-17_08:50:31 -5.528218015385853E8 -2.4819703569792405E8 4.6185129782018954E8
2021-01-26_00:46:41 -5.468274919341495E8 -2.4581343205801186E8 4.694812172436927E8
2021-02-03_16:42:51 -5.40741132503941E8 -2.433884475269978E8 4.7703185456919897E8
2021-02-12_08:39:00 -5.3456356798514825E8 -2.4092240954791036E8 4.8450184764931035E8
2021-02-21_00:35:10 -5.282956638797763E8 -2.3841565470928663E8 4.918898364812435E8
2021-03-01_16:31:19 -5.219382990450372E8 -2.3586852553212288E8 4.991944711490205E8
2021-03-10_08:27:29 -5.154923803674812E8 -2.3328137686740616E8 5.064143961641834E8
2021-03-19_00:23:39 -5.089588531234095E8 -2.3065458043871507E8 5.1354824416736865E8
2021-03-27_16:19:48 -5.023386891627113E8 -2.27988519739333E8 5.20594653121702E8
2021-04-05_08:15:58 -4.9563288271486163E8 -2.252835882018194E8 5.275522694106762E8
2021-04-14_00:12:07 -4.8884245247778344E8 -2.225401901032598E8 5.344197452818143E8
2021-04-22_16:08:17 -4.819684254872547E8 -2.1975873360220033E8 5.411957595083824E8
2021-05-01_08:04:27 -4.750118267799989E8 -2.1693962628859207E8 5.47879029183854E8
2021-05-10_00:00:36 -4.679736930073205E8 -2.1408328108400828E8 5.544682924061804E8
2021-05-18_15:56:46 -4.6085507546358794E8 -2.1119011751543212E8 5.609623007850753E8
2021-05-27_07:52:55 -4.536570287971875E8 -2.0826055678003544E8 5.673598268495144E8
2021-06-04_23:49:05 -4.4638062144754916E8 -2.0529502627187318E8 5.736596536792166E8
2021-06-13_15:45:15 -4.3902695572018826E8 -2.0229396832292822E8 5.79860560240413E8
2021-06-22_07:41:24 -4.315971688848646E8 -1.992578406950525E8 5.859613241124465E8
2021-06-30_23:37:34 -4.240924365479559E8 -1.961871180154493E8 5.91960718692284E8
2021-07-09_15:33:43 -4.165139857416178E8 -1.930822974303949E8 5.978575032436528E8
2021-07-18_07:29:53 -4.088630862049521E8 -1.899438948486548E8 6.03650435752386E8
2021-07-26_23:26:03 -4.011410300624141E8 -1.86772436176921E8 6.09338294771928E8
