#time X Y Z
2017-08-29_03:47:26 -1.6380444930455495E7 -1.426406765299804E7 5.306867610646075E7
2017-08-30_05:53:26 -1.2350909808996234E7 -1.217602611919065E7 5.367096674767231E7
2017-08-31_07:59:26 -8240970.658403966 -1.0008619863539571E7 5.392286865216738E7
2017-09-01_10:05:26 -4074687.345939473 -7772617.688877797 5.380448845580932E7
2017-09-02_12:11:26 120788.90361837223 -5480565.167763135 5.329715590919758E7
2017-09-03_14:17:26 4315065.587870318 -3146928.926641928 5.238401888429627E7
2017-09-04_16:23:26 8474437.748278443 -788209.48289205 5.105075254919935E7
2017-09-05_18:29:26 1.256193114004343E7 1576997.3743775624 4.928638059640201E7
2017-09-06_20:35:26 1.6537500730402201E7 3928013.3987012003 4.708419364688879E7
2017-09-07_22:41:26 2.0358426829479303E7 6242189.082688718 4.444273294007702E7
2017-09-09_00:47:26 2.397994669973969E7 8495137.326607939 4.1366787145179115E7
2017-09-10_02:53:26 2.735614749792265E7 1.0661110820020339E7 3.786832848267907E7
2017-09-11_04:59:26 3.044112589884329E7 1.27135370467881E7 3.396729421625705E7
2017-09-12_07:05:26 3.3190390387637135E7 1.4625711245211903E7 2.9692105483262718E7
2017-09-13_09:11:26 3.556244535187102E7 1.6371627406293312E7 2.507981365270549E7
2017-09-14_11:17:26 3.7520456510149606E7 1.7926902894161996E7 2.017578105448604E7
2017-09-15_13:23:26 3.903386282045107E7 1.9269728562813744E7 1.5032841766344434E7
2017-09-16_15:29:26 4.0079781112918355E7 2.038176005318136E7 9709946.769559447
2017-09-17_17:35:26 4.060616520001833E7 2.1166727145584732E7 4868252.478973599
