#time X Y Z
2032-05-24_16:37:05 1.0994043183218539E9 3.4322862672653395E8 4.314087659968769E9
2032-09-22_01:44:17 1.1504315360133193E9 3.644923876258561E8 4.298856474251784E9
2033-01-20_10:51:29 1.2012880883301723E9 3.857041045190244E8 4.2829132453542094E9
2033-05-20_19:58:41 1.2519647763622706E9 4.0686000372744405E8 4.2662559678265777E9
2033-09-18_05:05:53 1.3024481711750882E9 4.279544811126563E8 4.248885257283589E9
2034-01-16_14:13:05 1.3527313839342644E9 4.489847986655711E8 4.230800866011166E9
2034-05-16_23:20:17 1.4027997628639052E9 4.6994475289258194E8 4.2120016578121915E9
2034-09-14_08:27:29 1.452641627565618E9 4.9082953887115145E8 4.1924898232233915E9
2035-01-12_17:34:41 1.5022452826888194E9 5.11634150693973E8 4.1722693791930547E9
2035-05-13_02:41:53 1.5515986684082673E9 5.32353579783361E8 4.151340077039404E9
2035-09-10_11:49:05 1.600687426157362E9 5.52981605773274E8 4.1297099595537195E9
2036-01-08_20:56:17 1.64950218824284E9 5.735143314116112E8 4.107383069253296E9
2036-05-08_06:03:29 1.6980308649462726E9 5.939464721599451E8 4.084365620166222E9
2036-09-05_15:10:41 1.7462607722697983E9 6.142726402053974E8 4.0606645310507555E9
2037-01-04_00:17:53 1.794185130656612E9 6.344898208814493E8 4.036290334800218E9
2037-05-04_09:25:05 1.841792993800031E9 6.545933160725023E8 4.011247362734618E9
2037-09-01_18:32:17 1.8890763291094763E9 6.745795966919733E8 3.985546782240459E9
2037-12-31_03:39:29 1.9360281216712275E9 6.944456009135469E8 3.959196977497817E9
2038-04-30_12:46:41 1.9826430207728016E9 7.141890056839188E8 3.9322041264314914E9
2038-08-28_21:53:53 2.0289112629835868E9 7.338055211926937E8 3.9045778286743846E9
2038-12-27_07:01:05 2.0748314255671146E9 7.532945553257755E8 3.8763262679033527E9
2039-04-26_16:08:17 2.1203963463670368E9 7.72652924701911E8 3.847455169538926E9
2039-08-25_01:15:29 2.1656010712876835E9 7.918785608875659E8 3.8179714949338775E9
2039-12-23_10:22:41 2.210441933415928E9 8.109697817295692E8 3.787884341672789E9
2040-04-21_19:29:53 2.2549151647803025E9 8.299250764158874E8 3.7571952748202057E9
2040-08-20_04:37:05 2.2990143334803042E9 8.487415778597207E8 3.7259133517629256E9
2040-12-18_13:44:17 2.3427371800909452E9 8.674184250403395E8 3.6940430032446885E9
2041-04-17_22:51:29 2.3860801755772905E9 8.859540468791314E8 3.6615885461437263E9
2041-08-16_07:58:41 2.429036478584708E9 9.043455890016421E8 3.6285537845912247E9
2041-12-14_17:05:53 2.4716049496567726E9 9.225925590358648E8 3.594945616249708E9
2042-04-14_02:13:05 2.5137797348610754E9 9.406925146827284E8 3.560764210705835E9
2042-08-12_11:20:17 2.5555562452256494E9 9.586435218792586E8 3.5260149531736927E9
2042-12-10_20:27:29 2.5969296412716594E9 9.76443544581513E8 3.4907020191136475E9
2043-04-10_05:34:41 2.6378973214557357E9 9.940915759799767E8 3.4548257856814137E9
2043-08-08_14:41:53 2.678450068276463E9 1.0115836570240141E9 3.4183903194903226E9
2043-12-06_23:49:05 2.718585559542387E9 1.0289189547124896E9 3.3813984056181893E9
2044-04-05_08:56:17 2.758296593685004E9 1.0460943646455672E9 3.343851369650512E9
2044-08-03_18:03:29 2.797575649075291E9 1.0631068170125171E9 3.3057506840150557E9
2044-12-02_03:10:41 2.836416285564588E9 1.0799535217568595E9 3.267102142385572E9
2045-04-01_12:17:53 2.874811749892472E9 1.0966317528377366E9 3.227903640897846E9
2045-07-30_21:25:05 2.9127515521068444E9 1.1131369613796432E9 3.188160632812527E9
2045-11-28_06:32:17 2.9502274887911577E9 1.1294657586459594E9 3.147876173359694E9
2046-03-28_15:39:29 2.987231592127288E9 1.1456146961483262E9 3.1070537181159635E9
2046-07-27_00:46:41 3.0237505875066605E9 1.1615781138448105E9 3.0656970900944395E9
2046-11-24_09:53:53 3.0597772219552455E9 1.1773528611728096E9 3.0238151300480113E9
