Name,RAJ2000,DEJ2000,Dist,Kmag,Bmag,a26,b/a,HRV,i,TT,Mcl
UGC05047,142.20666666666665,51.560555555555545,19.68,13.0,16.0,1.62,0.28,502,76,7," "
UGC04879,139.00916666666666,52.83999999999999,1.36,11.5,13.8,3.24,0.56,-25,66,9,BCD
UMa II,132.87499999999997,63.12999999999999,0.03,10.35,14.8,25.3,0.5,-116,80,-2,Sph
KKH57,150.06666666666663,63.18499999999999,3.91,13.69,17.87,0.6,0.83,,41,-3,Sph
UGC05497,153.20166666666665,64.10749999999999,3.7,13.18,15.6,0.89,0.74,150,48,9,BCD
DDO087,162.4020833333333,65.53055555555555,7.45,11.86,15.15,1.58,0.9,340,29,10,Ir
BK6N,158.63291666666663,66.01166666666666,3.85,12.75,16.9,1.1,0.64,,66,-3,Sph
KDG063,151.28041666666664,66.55499999999999,3.5,11.53,16.01,1.91,0.88,-129,34,-3,Tr
[CKT2009]d0958+66,149.70208333333332,66.84972222222221,4.04,13.41,16.0,0.87,0.58,90,64,9,BCD
[CKT2009]d1006+67,151.69249999999997,67.2011111111111,3.87,15.32,19.7,0.32,0.97,,17,-3,Sph
KDG064,151.75791666666666,67.82749999999999,3.7,11.19,15.52,1.95,0.47,-15,90,-3,Tr
BK5N,151.16791666666666,68.25555555555555,3.78,13.2,17.53,0.79,0.75,,52,-3,Sph
IKN,152.0245833333333,68.39916666666666,3.75,12.16,16.5,2.69,0.85,-140,39,-3,Sph
[CKT2009]d1014+68,153.7325,68.7575,4.57,15.92,20.2,0.2,0.9,,29,-1,Tr
[CKT2009]d1015+69,153.77874999999997,69.0375,4.07,16.21,20.5,0.25,0.98,,13,-1,Tr
UGC04998,141.30041666666665,68.38305555555554,8.24,11.11,15.0,1.78,0.62,632,60,9,BCD
KK77,147.54166666666666,67.50666666666666,3.48,11.63,16.3,2.4,0.75,,52,-3,Sph
F8D1,146.20833333333331,67.47555555555554,3.77,11.22,15.7,2.19,0.91,-125,29,-3,Sph
NGC2976,146.81499999999997,67.9136111111111,3.56,7.53,11.01,5.75,0.46,6,64,7," "
BK3N,148.45208333333332,68.96916666666665,4.02,16.11,18.78,0.32,0.8,-40,41,10,Ir
