Name,RAJ2000,DEJ2000,Dist,Kmag,Bmag,a26,b/a,HRV,i,TT,Mcl
NGC4204,183.80999999999997,20.658611111111107,8.0,10.0,12.9,4.47,0.81,861,36,7," "
KKH80,187.02249999999998,22.29083333333333,7.43,14.37,16.8,0.85,0.69,602,53,10,Ir
UGC07584,187.0120833333333,22.589444444444442,9.2,13.75,16.19,0.91,0.5,603,72,9,BCD
NGC4455,187.18374999999997,22.822499999999998,8.4,10.55,12.93,3.24,0.29,644,76,7," "
UGC7321,184.39166666666665,22.540277777777774,17.2,10.67,14.09,6.76,0.06,403,90,7," "
IC3840,192.9420833333333,21.735277777777775,5.5,14.39,16.9,0.95,0.48,557,75,10,Ir
KK167,192.93499999999997,26.110555555555553,9.2,14.0,16.39,0.85,0.72,1248,50,10,Ir
UGC08030,193.62249999999997,26.304999999999996,15.3,14.21,16.6,1.23,0.56,628,66,10,Ir
ComaI,186.7458333333333,23.904166666666665,0.04,10.81,14.98,9.5,0.64,98,66,-3,Sph
UGCA298,191.7308333333333,26.56416666666666,11.0,12.43,15.25,0.89,0.78,844,44,9,BCD
DDO154,193.52166666666665,27.14861111111111,4.04,12.33,14.1,2.14,0.73,374,49,10,Ir
UGC07990,192.61333333333332,28.352777777777774,20.4,13.51,16.2,1.17,0.52,512,60,8," "
AGC749241,190.0070833333333,26.32194444444444,9.2,15.9,18.3,0.34,0.84,451,37,10,Ir
UGCA294,191.15874999999997,28.472499999999997,9.9,12.41,14.82,1.1,0.57,955,65,9,BCD
NGC3627,170.06249999999997,12.991388888888887,10.28,5.88,9.65,10.23,0.46,716,66,4," "
AGC202256,168.68749999999997,12.647499999999999,11.0,14.28,16.7,0.4,0.61,630,61,10,Ir
NGC3593,168.6495833333333,12.818611111111109,10.8,7.42,11.85,5.89,0.43,631,73,1," "
IC2684,169.25416666666663,13.099722222222221,10.3,13.69,16.15,0.81,0.75,588,47,10,Tr
IC2791,170.90666666666664,12.895833333333332,10.3,14.45,16.9,0.58,0.68,666,54,9,Im
AGC213436,170.59999999999997,12.979444444444443,10.3,12.5,16.7,0.52,0.98,626,13,-1,dE
IC2787,170.82958333333332,13.62972222222222,10.3,13.23,15.7,1.07,0.93,708,24,9,BCD
AGC215354,169.81624999999997,14.290277777777776,10.42,14.96,17.4,0.5,0.6,790,62,9,BCD
NGC3489,165.0775,13.90111111111111,12.08,7.37,11.12,3.8,0.57,695,60,1," "
AGC205278,164.7170833333333,14.129444444444443,10.4,14.88,17.3,0.54,0.68,686,54,10,Ir
LSBC D640-08,165.2170833333333,13.880833333333332,10.4,12.8,16.96,0.81,0.58,,75,-3,Sph
LeG33,165.1883333333333,14.17222222222222,10.4,16.18,18.6,0.35,0.55,,67,10,Tr
UGC06881,178.68624999999997,20.055555555555554,16.4,13.41,15.9,1.62,0.39,601,90,10,Ir
LeG27,163.08374999999998,14.70722222222222,10.4,14.42,18.6,0.37,0.67,,57,-2,Tr
AGC205544,163.01999999999998,15.030555555555553,10.4,12.92,17.1,0.45,0.8,828,41,-1,dE
CGCG 095-078,164.50916666666663,19.505277777777774,7.37,13.15,15.6,0.84,0.48,650,75,9,BCD
KKH67,170.76458333333332,21.326944444444443,10.0,14.21,18.4,0.71,0.81,,42,-2,Sph
LeoII,168.37166666666664,22.15472222222222,0.21,8.45,12.61,12.02,0.87,86,36,-3,Sph
AGC229053,184.5645833333333,25.568333333333328,17.9,15.44,17.9,0.49,0.48,425,75,10,Ir
DDO097,177.23833333333332,23.837777777777774,13.74,12.65,15.14,1.58,0.91,522,27,10,Ir
NGC4080,181.2158333333333,26.992499999999996,15.0,10.79,13.7,1.58,0.44,565,65,8," "
LV J1205+2813,181.39249999999998,28.23222222222222,6.74,14.02,16.7,0.69,0.79,534,38,8," "
KUG 1202+286,181.3470833333333,28.365555555555552,6.69,13.16,15.2,0.89,0.57,529,56,8," "
MCG +05-28-046,178.84791666666663,28.339999999999996,7.45,13.89,16.35,1.2,0.44,590,81,9,Im
BTS76,179.68374999999997,27.584999999999997,5.57,14.06,16.5,0.6,0.6,455,62,10,Ir
IC3308,186.3245833333333,26.714722222222218,12.8,12.51,15.41,1.55,0.26,316,77,8," "
AGC749236,186.42666666666665,26.809999999999995,19.5,14.86,17.3,0.62,0.51,273,71,10,Ir
IC3341,186.59749999999997,27.74555555555555,14.0,13.98,16.4,0.68,0.56,372,66,9,Im
KK138,185.4933333333333,28.242777777777775,6.3,16.27,18.7,0.42,0.58,,64,10,Tr
KK144,186.36624999999998,28.482499999999995,6.15,14.07,16.5,1.12,0.44,480,81,10,Ir
KDG098,184.62249999999997,28.64583333333333,9.0,12.31,16.5,0.76,0.93,,24,-1,Tr
IC3247,185.8083333333333,28.893888888888885,24.4,12.12,15.25,2.34,0.17,569,86,7," "
NGC4559,188.99041666666665,27.95972222222222,8.1,7.58,10.28,10.96,0.41,814,68,6," "
DDO131,187.99416666666664,29.70972222222222,8.1,12.86,15.28,1.15,0.76,643,46,10,Ir
DDO133,188.2208333333333,31.539166666666663,4.85,11.12,13.53,3.55,0.69,330,53,10,Ir
NGC4509,188.2783333333333,32.09166666666666,10.1,11.5,14.1,0.91,0.76,934,46,9,BCD
IC 779,184.91124999999997,29.88333333333333,16.67,11.79,15.22,1.32,0.86,213,34,-1,dE
NGC4308,185.48708333333332,30.074166666666663,14.0,10.62,14.11,0.85,0.95,642,20,-1," "
KK127,183.3445833333333,29.921666666666663,17.3,13.99,15.6,1.38,0.36,131,70,8," "
LV J1213+2957,183.45166666666665,29.958888888888886,2.68,14.98,17.4,0.47,0.71,225,51,10,Ir
NGC4136,182.32374999999996,29.927499999999995,7.9,9.31,11.69,3.98,0.92,608,24,5," "
IC2992,181.31624999999997,30.85555555555555,12.7,12.44,15.02,0.83,0.83,599,38,9,BCD
NGC4150,182.64,30.401666666666664,13.74,8.99,12.49,2.19,0.69,226,53,-1," "
UGC07131,182.29916666666665,30.906666666666663,16.8,13.95,16.8,1.62,0.29,253,75,8," "
MAPS1206+31,181.64374999999998,31.342499999999994,7.43,13.12,15.8,0.71,0.93,568,22,8," "
LV J1207+3133,181.95833333333331,31.552222222222216,7.37,14.82,17.5,0.64,0.82,562,35,8,Sm
NGC4395,186.45749999999998,33.54611111111111,4.61,8.0,10.64,13.18,0.83,313,34,8," "
LV J1217+3231,184.3833333333333,32.5325,5.93,15.8,18.2,0.66,0.62,447,60,9,Im
KKH78,184.43541666666664,33.345277777777774,4.7,15.3,17.7,0.45,0.63,,59,10,Ir
KK141,185.7195833333333,33.82861111111111,7.78,14.2,16.6,0.4,0.77,573,45,10,Ir
UGC7427,185.47916666666663,35.05138888888889,9.7,13.5,15.9,1.07,0.61,726,61,10,Ir
KUG 1157+315,180.06749999999997,31.224999999999994,23.2,12.88,15.05,0.83,0.48,617,62,8," "
KDG082,178.91416666666663,31.51944444444444,16.6,12.09,14.84,1.91,0.64,590,51,8," "
LV J1203+3257,180.79541666666665,32.956111111111106,7.55,14.02,16.7,0.97,0.38,570,69,8," "
UGC7257,183.7625,35.958611111111104,8.8,12.25,14.36,1.35,0.62,956,52,8," "
KDG090,183.74124999999998,36.218888888888884,2.86,13.43,15.86,1.55,0.87,,33,10,Tr
NGC4214,183.9120833333333,36.32749999999999,2.94,8.14,10.24,8.51,0.78,291,39,8," "
NGC4163,183.0370833333333,36.16944444444444,2.94,10.88,13.63,2.19,0.84,162,37,9,Im
MCG +06-27-017,182.48499999999999,36.43527777777777,4.83,12.0,15.5,0.95,0.31,339,90,9,Im
NGC4190,183.4358333333333,36.633333333333326,2.82,10.79,13.5,2.14,0.88,235,32,9,BCD
DDO099,177.7208333333333,38.88055555555555,2.64,11.86,13.7,4.27,0.37,251,90,10,Ir
Sag dIr,292.4958333333333,-17.678055555555552,1.04,12.13,14.12,2.88,0.72,-79,50,10,Ir
NGC6822,296.24041666666665,-14.803055555555554,0.5,6.0,9.31,19.05,0.87,-57,33,10,Ir
LV J1952+1428,298.0491666666666,14.473333333333331,7.13,13.54,16.9,0.3,0.93,279,24,9,BCD
Hercules,247.7583333333333,12.791666666666664,0.15,10.66,15.0,13.5,0.33,45,90,-3,Sph
[KK2000] 03,36.17791666666666,-73.51277777777777,4.1,10.83,16.0,2.45,0.4,,90,-3,Tr
LMC,80.89416666666665,-69.7561111111111,0.05,-1.75,0.91,645.65,0.85,278,35,9,Im
KK27,50.262499999999996,-66.31972222222221,3.98,13.85,16.5,1.17,0.33,533,90,10,Ir
NGC1313,49.56416666666666,-66.49749999999999,4.07,7.57,9.66,12.59,0.8,470,37,7," "
NGC1533,62.46583333333332,-56.118333333333325,19.4,7.63,11.79,3.55,0.82,785,37,1," "
IC2038,62.22541666666666,-55.99222222222222,19.2,12.0,14.98,2.09,0.24,712,79,7," "
SMC,13.158333333333331,-72.80027777777777,0.06,0.16,2.7,380.19,0.64,158,58,9,Im
ESO115-021,39.43749999999999,-61.341111111111104,4.99,9.97,13.34,7.24,0.14,515,90,7," "
IC1959,53.29916666666666,-50.41055555555555,6.05,11.04,13.2,4.07,0.23,640,79,8," "
NGC1311,50.03083333333333,-52.184999999999995,5.2,10.92,13.4,4.68,0.25,571,78,8," "
ESO154-023,44.209999999999994,-54.57305555555555,5.55,9.81,12.71,8.32,0.18,574,83,8," "
ESO199-007,44.517083333333325,-49.38249999999999,6.56,14.01,16.44,1.07,0.4,630,90,10,Ir
NGC1705,73.55708333333332,-53.36138888888888,5.11,10.52,12.77,2.24,0.74,628,48,9,BCD
HIPASS J0457-42,74.24458333333332,-42.803888888888885,7.2,12.06,14.46,1.41,0.37,657,70,10,Ir
PGC013294,53.98666666666666,-45.19138888888888,7.98,13.73,16.13,0.62,0.8,744,41,10,Ir
NGC1291,49.32749999999999,-41.10805555555555,8.8,5.66,9.42,14.45,0.92,838,25,1," "
ESO300-014,47.40749999999999,-41.03055555555555,9.8,10.0,13.06,7.08,0.52,955,60,8," "
ESO300-016,47.543749999999996,-40.00305555555555,8.8,13.15,15.57,1.45,0.72,710,50,10,Ir
NGC1800,76.60708333333332,-31.954166666666662,8.0,10.21,13.13,2.0,0.55,814,67,9,BCD
NGC1592,67.41999999999999,-27.408611111111107,9.1,12.66,14.45,1.41,0.48,945,75,10,Ir
Phoenix,27.776249999999997,-44.44472222222222,0.44,11.31,13.72,5.5,0.85,-52,35,10,Tr
ESO245-005,26.264999999999997,-43.59805555555555,4.43,10.26,12.7,3.8,0.89,393,30,9,Im
NGC0625,23.77083333333333,-41.436388888888885,3.89,8.9,11.59,7.08,0.28,395,76,8," "
AM0106-382,17.091666666666665,-38.20916666666666,8.2,13.86,16.26,0.72,0.56,645,66,10,Ir
ESO294-010,6.638749999999999,-41.85555555555555,1.92,14.08,15.53,1.51,0.64,107,58,10,Tr
NGC0055,3.785416666666666,-39.220277777777774,2.13,6.25,8.84,37.15,0.17,129,84,8," "
NGC0300,13.722916666666665,-37.6825,2.15,6.38,8.95,25.7,0.71,146,45,7," "
Sculptor,15.039166666666665,-33.70916666666666,0.09,5.9,10.05,39.81,0.68,105,60,-3,Sph
Fornax,39.97791666666666,-34.52583333333333,0.14,5.13,9.28,17.78,0.7,29,58,-3,Sph
ESO483-013,63.17124999999999,-23.158888888888885,7.4,10.84,14.06,1.58,0.54,898,68,9,BCD
NGC1400,54.87833333333332,-18.688055555555554,24.5,7.81,11.92,3.47,0.87,569,36,-3," "
ESO006-001,124.84708333333332,-85.14555555555555,6.7,12.97,15.13,1.1,0.91,738,27,9,BCD
NGC2915,141.54791666666665,-76.62638888888888,3.78,9.7,13.2,2.0,0.53,467,69,9,BCD
ESO059-001,112.83041666666665,-68.1861111111111,4.57,11.25,13.98,2.14,0.81,530,40,9,Im
ESO215-009,164.3758333333333,-48.178888888888885,5.25,12.6,16.03,2.0,0.6,598,62,10,Ir
ESO320-014,174.47249999999997,-39.22055555555555,6.08,12.9,15.85,1.38,0.64,654,58,10,Ir
ESO318-013,161.92458333333332,-38.854166666666664,6.5,12.07,14.97,1.78,0.14,718,90,8," "
NGC3621,169.5670833333333,-32.81166666666666,6.7,6.6,10.18,12.3,0.44,730,65,7," "
RKK1610,146.35333333333332,-48.14138888888888,14.9,12.63,16.9,0.93,0.68,882,54,10,Ir
ESO373-007,143.18916666666664,-33.24555555555555,8.3,13.52,16.4,1.29,0.54,862,68,10,Ir
ESO376-016,160.86291666666665,-37.0425,7.1,12.95,15.53,0.69,0.56,670,66,10,Ir
Antlia,151.01666666666665,-27.331944444444442,1.32,12.73,16.19,2.0,0.75,362,47,10,Tr
ESO499-038,150.95916666666665,-26.612777777777776,15.3,13.06,15.68,0.83,0.55,885,67,10,Ir
NGC3109,150.77999999999997,-26.159999999999997,1.32,7.5,10.39,19.95,0.19,403,83,8," "
ESO501-023,158.84666666666664,-24.754166666666663,7.0,10.34,13.2,3.47,0.79,1042,38,8," "
FG202,106.32124999999999,-58.520555555555546,4.9,12.13,14.95,1.95,0.47,564,76,10,Ir
LV J0616-5745,94.03833333333333,-57.76527777777777,6.0,14.5,17.01,0.4,0.8,554,41,10,Ir
ESO121-020,93.97708333333333,-57.726388888888884,6.05,12.76,15.27,0.93,0.71,587,51,10,Ir
Carina,100.40291666666666,-50.966111111111104,0.1,6.95,11.3,24.55,0.67,224,62,-3,Sph
KK55,99.88708333333332,-40.720277777777774,7.65,13.4,16.05,0.71,0.64,824,58,10,Ir
HIZSS021,116.56874999999998,-28.469722222222217,3.0,11.13,17.5,0.8,0.65,494,57,10,Ir
HIZSS008,111.34166666666665,-24.475277777777773,7.43,8.5,16.9,1.35,0.43,800,66,7," "
HIZSS012,112.53458333333332,-22.01694444444444,7.2,9.0,19.0,3.2,0.5,779,61,8," "
HIPASS J0905-36,136.49999999999997,-36.059999999999995,7.93,13.38,17.4,0.5,0.75,886,47,10,Ir
CGMW2-3473,126.30374999999998,-28.140277777777772,7.4,11.93,15.22,0.78,0.58,837,64,9,BCD
ESO495-021,129.0633333333333,-26.40944444444444,7.96,9.0,12.45,2.09,0.77,868,45,9,BCD
KK73,138.1220833333333,-24.241111111111106,9.8,10.62,16.35,0.62,0.62,,68,-3,Sph
NGC2784 dw01,138.07708333333332,-24.21111111111111,9.8,12.36,17.27,0.89,0.89,,33,-3,Sph
NGC2784,138.08083333333332,-24.171666666666663,9.82,6.33,11.24,5.5,0.4,687,90,-2," "
KK72,137.92624999999998,-23.98222222222222,9.8,13.17,18.0,0.45,0.83,,41,-3,Sph
KK71,137.29541666666665,-23.367777777777775,9.8,12.9,17.7,0.4,0.78,,48,-3,Sph
DDO056,137.44416666666666,-23.009166666666662,9.8,12.6,15.63,1.29,0.7,724,52,10,Ir
ESO496-010,132.27499999999998,-26.319999999999997,7.8,11.9,14.83,1.05,0.66,814,56,9,BCD
ESO497-004,135.76291666666665,-23.80833333333333,19.0,12.79,16.36,1.12,0.23,806,79,8," "
NGC3037,147.84999999999997,-27.011111111111106,8.1,11.12,13.64,1.29,0.87,887,30,8," "
LV J0939-2507,144.89583333333331,-25.126388888888886,6.15,12.92,15.5,0.63,0.57,741,65,10,Ir
LV J0944-2254,146.08374999999998,-22.916111111111107,6.05,14.18,16.83,0.32,0.76,729,46,9,BCD
DDO062,140.36458333333331,-22.500555555555554,18.6,11.72,14.8,2.51,0.24,846,79,8," "
HIPASS J0916-23b,139.24166666666665,-23.27972222222222,10.3,13.06,15.84,0.66,0.37,837,90,10,Ir
NGC2835,139.47041666666664,-22.355277777777776,10.3,7.92,11.01,8.91,0.67,885,49,5," "
ESO565-003,140.79125,-20.167499999999997,7.52,12.93,15.53,0.72,0.67,829,55,10,Ir
UGCA153,138.30041666666665,-19.40861111111111,21.9,12.36,15.4,2.24,0.6,766,54,8," "
LV J0935-1348,143.83999999999997,-13.814444444444442,7.3,14.08,16.6,0.42,0.75,796,47,9,BCD
ESO495-008,125.25291666666665,-23.781388888888884,17.3,13.21,16.06,0.69,0.28,789,90,10,Ir
HIPASS J0801-21,120.35583333333332,-21.997499999999995,6.34,13.97,17.2,0.48,0.55,730,67,10,Ir
HIZSS014,114.09416666666665,-19.49444444444444,7.35,10.82,18.4,0.4,0.6,786,62,9,BCD
IC3104,184.6920833333333,-79.7261111111111,2.27,9.26,13.65,3.72,0.47,429,76,9,Im
HIPASS J1247-77,191.8858333333333,-77.5836111111111,3.16,13.5,18.0,0.66,0.48,413,75,10,Ir
ESO137-018,245.2470833333333,-60.48749999999999,6.4,8.37,12.23,3.47,0.34,603,73,6," "
CIRCINUS,213.28874999999996,-65.33916666666666,4.2,5.28,12.12,6.92,0.43,434,69,3," "
HIPASS J1441-62,220.42791666666665,-62.767222222222216,6.02,12.93,20.5,0.3,0.65,672,57,10,Ir
HIPASS J1526-51,231.59541666666664,-51.17527777777777,5.68,14.64,19.5,,,605,,10,Ir
ESO222-010,218.76249999999996,-49.42166666666666,5.8,12.96,16.33,0.44,0.44,620,81,10,Ir
ESO223-009,225.28541666666663,-48.29249999999999,6.49,9.44,13.82,2.63,0.92,588,26,10,Ir
ESO274-001,228.55624999999998,-46.81249999999999,3.09,8.36,11.7,13.49,0.1,524,90,7," "
ESO273-014,224.62624999999997,-47.698611111111106,9.9,9.79,12.9,3.8,0.73,1050,44,7," "
IC4662,266.77624999999995,-64.64027777777777,2.44,8.53,11.74,2.82,0.57,302,65,9,BCD
ESO174-001,206.99041666666665,-53.3511111111111,3.6,11.5,14.2,2.45,0.43,686,83,10,Ir
NGC5206,203.43291666666664,-48.151111111111106,3.47,8.48,11.62,3.72,0.86,583,37,-3," "
ESO270-017,203.6970833333333,-45.54749999999999,3.6,8.2,11.71,15.85,0.12,827,90,8," "
NGC4945,196.35875,-49.47111111111111,3.8,4.49,9.28,28.18,0.19,563,86,6," "
ESO219-010,194.03999999999996,-50.14388888888888,4.29,11.44,16.42,0.68,0.79,,47,-3,Sph
ESO269-058,197.6370833333333,-46.99083333333333,3.8,9.04,13.29,4.68,0.6,400,62,9,Ir
ESO269-037,195.89,-46.58416666666666,3.48,13.42,16.29,1.2,0.75,744,47,10,Ir
KK203,201.8670833333333,-45.35249999999999,3.6,14.95,17.7,0.5,0.99,,9,10,Tr
KK196,200.44624999999996,-45.063333333333325,3.98,13.46,16.14,0.87,0.77,741,45,10,Ir
ESO269-066,198.2883333333333,-44.88999999999999,3.82,10.12,14.59,2.14,0.86,784,34,-1,Sph
NGC5128,201.37041666666664,-43.01666666666666,3.75,3.94,7.84,34.67,0.78,556,45,-2," "
PGC051659,217.01541666666662,-46.30166666666666,3.58,12.34,15.2,1.86,0.38,391,90,10,Ir
CenN,207.0383333333333,-47.56499999999999,3.66,12.84,17.5,0.76,0.78,,48,-3,Sph
HIPASS J1351-47,207.84166666666664,-46.99999999999999,5.73,14.6,17.5,0.56,0.6,529,62,10,Ir
ESO272-025,220.85624999999996,-44.70527777777777,5.88,12.27,14.79,1.58,0.5,631,72,10,Ir
KK221,207.1933333333333,-46.99694444444444,3.98,14.4,17.3,1.51,0.67,507,55,10,Ir
KK217,206.57166666666663,-45.68472222222221,3.84,12.99,17.57,0.65,0.83,,41,-3,Sph
KK211,205.5233333333333,-45.20499999999999,3.58,11.78,16.32,1.2,0.87,600,34,-2,Sph
KK213,205.89916666666664,-43.76916666666666,3.63,13.52,18.0,0.48,0.5,,90,-3,Sph
NGC5408,210.8395833333333,-41.37638888888888,4.81,10.5,12.2,2.82,0.42,502,87,9,Im
[KK2000] 57,205.40874999999997,-42.58194444444444,3.93,13.64,18.1,0.55,0.87,,36,-3,Sph
NGC5237,204.4120833333333,-42.8475,3.4,9.85,13.23,2.0,0.84,361,37,9,BCD
ESO325-011,206.2533333333333,-41.858888888888885,3.4,11.32,14.02,3.16,0.48,544,75,10,Ir
HIPASS J1337-39,204.3545833333333,-39.89777777777777,4.83,13.8,16.5,0.52,0.83,492,38,10,Ir
HIPASS J1348-37,207.14124999999999,-37.967499999999994,5.75,14.9,17.6,0.47,0.8,582,41,10,Ir
ESO384-016,209.25666666666663,-35.333888888888886,4.53,12.0,15.11,1.32,0.69,561,53,9,BCD
[KK2000] 51,191.0895833333333,-42.939722222222215,3.6,14.6,17.3,0.55,0.44,,81,10,Tr
NGC5011C,198.29958333333332,-43.26555555555555,3.6,11.24,14.21,1.17,0.66,647,56,-1,Tr
[KK2000] 55,200.55166666666665,-42.73083333333333,3.94,13.82,18.5,0.79,0.88,,34,-3,Sph
KK197,200.50749999999996,-42.53555555555555,3.87,10.98,15.68,1.58,0.78,,48,-3,Sph
ESO324-024,201.9058333333333,-41.48055555555555,3.73,10.35,12.91,3.31,0.72,514,44,8," "
KK189,198.18749999999997,-41.83194444444444,4.21,13.2,17.75,0.6,0.67,,62,-3,Sph
KK182,196.2620833333333,-40.08277777777777,5.78,13.47,16.33,0.91,0.6,617,62,10,Ir
[KK2000] 53,197.80916666666664,-38.90611111111111,3.6,12.85,17.3,0.79,0.87,,36,-3,Sph
ESO321-014,183.45666666666665,-38.23138888888889,3.18,12.7,15.21,1.41,0.43,609,83,10,Ir
ESO381-018,191.17791666666665,-35.96666666666666,5.32,13.52,15.72,0.79,0.58,624,64,10,Ir
ESO381-020,191.50166666666664,-33.83805555555555,5.45,12.11,14.44,2.82,0.4,589,90,10,Ir
[KK2000] 58,206.5033333333333,-36.32888888888888,3.6,13.06,17.41,0.93,0.7,,58,-3,Sph
ESO383-087,207.3283333333333,-36.061388888888885,3.45,8.2,11.0,5.62,0.8,326,37,8," "
NGC5102,200.4908333333333,-36.62972222222222,3.4,6.92,10.28,13.49,0.32,464,90,1," "
HIDEEP J1337-33,204.25249999999997,-33.36305555555555,4.37,14.76,17.3,0.2,0.95,591,20,10,Ir
KK198,200.73374999999996,-33.57277777777777,4.6,13.28,17.65,0.5,0.83,,41,-3,Tr
NGC5398,210.34249999999997,-33.06444444444444,8.1,10.34,12.78,3.55,0.52,1220,60,7," "
NGC5253,204.98249999999996,-31.639999999999997,3.56,8.29,10.87,6.92,0.38,407,69,8," "
KK218,206.6645833333333,-29.97916666666666,4.6,13.26,17.6,0.81,0.45,,90,-3,Sph
NGC5264,205.40416666666664,-29.913888888888884,4.53,9.5,12.6,3.47,0.6,478,54,8," "
NGC5236,204.25041666666664,-29.867777777777775,4.92,4.62,8.2,18.62,0.89,519,28,5," "
KK208,204.14791666666665,-29.57083333333333,4.68,10.03,14.3,5.89,0.42,,90,-3,Sph
UGCA365,204.1283333333333,-29.236388888888886,5.25,12.64,15.49,1.58,0.42,577,87,10,Ir
IC4316,205.07541666666663,-28.894444444444442,4.41,10.96,14.56,2.04,0.63,576,59,10,Ir
[KK2000] 54,200.38499999999996,-31.886388888888884,4.6,15.51,18.13,0.66,0.68,,54,10,Tr
KK195,200.28416666666664,-31.52972222222222,5.22,14.5,17.1,0.71,0.46,572,78,10,Ir
KK200,201.14999999999998,-30.972222222222218,4.63,13.42,16.67,1.1,0.62,494,60,10,Ir
IC4247,201.68499999999997,-30.362499999999997,4.97,11.25,14.41,1.66,0.38,420,90,10,Ir
ESO443-009,193.7233333333333,-28.34083333333333,5.78,14.4,17.01,0.71,0.75,645,47,10,Ir
MCG -04-31-038,197.40249999999997,-27.14055555555555,7.8,10.8,15.09,1.02,0.67,684,55,10,Ir
ESO444-084,204.33416666666665,-28.046111111111106,4.61,12.6,15.06,1.35,0.77,587,45,10,Ir
AM1320-230,200.8745833333333,-23.393055555555552,4.6,13.11,17.53,0.69,0.57,,77,-3,Tr
PGC170257,202.33749999999998,-21.179166666666664,6.5,12.6,15.33,0.93,0.75,650,47,9,BCD
Centaurus A-dE5,217.52083333333331,-33.479166666666664,9.0,15.78,18.43,0.52,0.58,,64,10,Tr
IC5052,313.0258333333333,-69.20388888888888,6.03,8.88,11.68,8.13,0.14,584,90,7," "
Tucana,340.4541666666666,-64.41999999999999,0.88,11.47,15.7,2.88,0.41,194,90,-1,Tr
IC4870,294.40666666666664,-65.81194444444444,7.3,12.11,14.5,1.74,0.56,877,66,9,BCD
IC4710,277.1583333333333,-66.98222222222222,7.94,9.56,12.51,3.72,0.78,739,39,8," "
ESO104-022,283.9216666666666,-64.81083333333332,6.7,12.95,15.63,1.48,0.67,797,55,10,Ir
NGC6684,282.24125,-65.17333333333332,8.7,7.05,11.31,3.98,0.65,866,55,0," "
ESO104-044,287.84624999999994,-64.21916666666665,8.3,12.46,14.96,1.78,0.64,750,58,10,Ir
[KK2000] 70,286.74541666666664,-63.96583333333332,8.3,15.17,17.7,0.55,0.82,,39,10,Ir
NGC6744,287.44124999999997,-63.85777777777777,8.3,5.94,9.14,21.38,0.65,841,51,4," "
[KK2000] 71,287.1833333333333,-63.73138888888888,8.3,12.58,15.1,1.82,0.39,,90,10,Ir
[KK2000] 72,288.0954166666666,-63.856111111111105,8.3,15.39,17.9,0.55,0.75,,47,10,Ir
IC4951,302.38249999999994,-61.850555555555545,9.8,10.98,13.97,3.24,0.18,814,83,8," "
NGC7090,324.1191666666666,-54.557222222222215,6.7,8.16,11.33,10.23,0.18,850,89,6," "
ESO238-005,335.62541666666664,-48.404999999999994,7.8,12.28,14.7,3.09,0.65,706,57,10,Ir
AM2220-460,335.9291666666666,-45.88222222222222,8.8,13.97,16.37,0.89,0.91,843,27,10,Ir
ESO149-003,358.0116666666666,-52.57749999999999,5.9,12.65,15.05,2.63,0.18,574,90,10,Ir
ApplesI,348.76374999999996,-42.53944444444444,8.32,17.25,21.4,0.1,0.73,674,54,-3,Sph
NGC7713,354.06249999999994,-37.93888888888888,7.8,9.19,11.49,6.76,0.41,692,68,6," "
LV J2335-3713,353.7670833333333,-37.22055555555555,7.8,14.23,16.64,0.58,0.57,615,65,10,Ir
NGC7462,345.6966666666666,-40.834999999999994,10.1,9.65,12.53,5.5,0.17,1057,90,6," "
ESO347-017,351.73374999999993,-37.34694444444444,7.6,11.78,14.69,1.91,0.34,691,72,7," "
IC5332,353.61458333333326,-36.10166666666666,7.8,8.7,11.0,8.32,0.87,701,30,7," "
IC5152,330.67458333333326,-51.29527777777777,1.97,7.97,11.03,7.08,0.62,122,60,9,BCD
IC5201,335.2391666666666,-46.03416666666666,8.8,8.0,11.3,8.71,0.46,915,64,6," "
KK258,340.18291666666664,-30.79972222222222,2.0,12.15,16.3,1.7,0.5,,90,-3,Tr
KK246,300.9891666666666,-31.68166666666666,7.83,13.3,17.06,0.91,0.42,435,87,10,Ir
Sag dSph,283.7629166666666,-30.478333333333328,0.02,-0.2,4.5,446.68,0.48,140,90,-3,Sph
DDO210,311.7158333333333,-12.848055555555554,0.94,11.29,14.0,2.63,0.5,-140,72,10,Ir
