#time X Y Z
2027-07-20_18:11:26 3.644516508111169E8 1.7315067743011317E8 -6.957974196716832E8
2027-09-12_21:47:26 3.171668793974116E8 1.5359963839672056E8 -7.252178890786239E8
2027-11-06_00:23:26 2.6812308714394388E8 1.3319672922535618E8 -7.506176192111408E8
2027-12-30_03:59:26 2.1764156350013056E8 1.1207653400846554E8 -7.718689235261383E8
2028-02-22_07:35:26 1.6592988953604835E8 9.032658661357483E7 -7.889131723959115E8
2028-04-16_12:11:26 1.1331438401753585E8 6.808460501082382E7 -8.01662283043339E8
2028-06-09_15:47:26 6.004330840411474E7 4.5455924175259806E7 -8.100720010313895E8
2028-08-02_19:23:26 6488550.236206851 2.259895039743153E7 -8.141011677566761E8
2028-09-25_22:59:26 -4.7101420491997704E7 -379790.6926306957 -8.137502939003348E8
2028-11-19_01:35:26 -1.0043884482342055E8 -2.3356633800469514E7 -8.090320613396877E8
2029-01-12_05:11:26 -1.5319797261739525E8 -4.6190930163533956E7 -7.999878335258845E8
2029-03-07_08:47:26 -2.0517805863457343E8 -6.879568016562437E7 -7.866561980779607E8
2029-04-30_13:23:26 -3.064536105894197E8 -1.131606138088863E8 -7.4745865898235E8
